timestamp_unix_s,timestamp_utc,relative_to_test_start_s,scope,gpu_uuid,gpu,gpu_i_id,gpu_i_profile,model_name,active_requests,sm_partition_pct,sm_configured_pct,sm_physical_pct,dram_partition_pct,dram_configured_pct,dram_physical_pct,fb_used_mib,fb_free_mib,fb_util_partition_pct,fb_util_configured_pct,fb_util_physical_pct,configured_compute_pct,configured_memory_pct,physical_memory_mib,power_w
1789666099.694,2026-09-17T17:28:19.694000Z,-16.04,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666099.694,2026-09-17T17:28:19.694000Z,-16.04,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666104.694,2026-09-17T17:28:24.694000Z,-11.04,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666104.694,2026-09-17T17:28:24.694000Z,-11.04,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666109.694,2026-09-17T17:28:29.694000Z,-6.04,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666109.694,2026-09-17T17:28:29.694000Z,-6.04,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666114.694,2026-09-17T17:28:34.694000Z,-1.04,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666114.694,2026-09-17T17:28:34.694000Z,-1.04,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666119.694,2026-09-17T17:28:39.694000Z,3.96,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,175,0.0,,,0.0,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666119.694,2026-09-17T17:28:39.694000Z,3.96,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,175,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666124.694,2026-09-17T17:28:44.694000Z,8.96,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,120,49.9177,,,14.2959,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666124.694,2026-09-17T17:28:44.694000Z,8.96,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,120,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666129.694,2026-09-17T17:28:49.694000Z,13.96,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,65,75.1388,,,21.501,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666129.694,2026-09-17T17:28:49.694000Z,13.96,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,65,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666134.694,2026-09-17T17:28:54.694000Z,18.96,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,10,74.8366,,,21.413,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666134.694,2026-09-17T17:28:54.694000Z,18.96,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,10,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666139.694,2026-09-17T17:28:59.694000Z,23.96,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,0,73.3464,,,20.988,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666139.694,2026-09-17T17:28:59.694000Z,23.96,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666144.694,2026-09-17T17:29:04.694000Z,28.96,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666144.694,2026-09-17T17:29:04.694000Z,28.96,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666099.694,2026-09-17T17:28:19.694000Z,-16.04,physical_gpu,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,,,NVIDIA A100-SXM4-40GB,0,,0.0,0.0,,0.0,0.0,1265.0,38925.0,,3.147549,3.088379,85.714286,98.120117,40960.0,97.16
1789666104.694,2026-09-17T17:28:24.694000Z,-11.04,physical_gpu,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,,,NVIDIA A100-SXM4-40GB,0,,0.0,0.0,,0.0,0.0,1265.0,38925.0,,3.147549,3.088379,85.714286,98.120117,40960.0,97.26
1789666109.694,2026-09-17T17:28:29.694000Z,-6.04,physical_gpu,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,,,NVIDIA A100-SXM4-40GB,0,,0.0,0.0,,0.0,0.0,1265.0,38925.0,,3.147549,3.088379,85.714286,98.120117,40960.0,96.008
1789666114.694,2026-09-17T17:28:34.694000Z,-1.04,physical_gpu,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,,,NVIDIA A100-SXM4-40GB,0,,0.0,0.0,,0.0,0.0,1265.0,38925.0,,3.147549,3.088379,85.714286,98.120117,40960.0,96.887
1789666119.694,2026-09-17T17:28:39.694000Z,3.96,physical_gpu,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,,,NVIDIA A100-SXM4-40GB,175,,0.0,0.0,,0.0,0.0,1265.0,38925.0,,3.147549,3.088379,85.714286,98.120117,40960.0,96.107
1789666124.694,2026-09-17T17:28:44.694000Z,8.96,physical_gpu,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,,,NVIDIA A100-SXM4-40GB,120,,24.95885,21.3933,,7.14795,7.14795,1265.0,38925.0,,3.147549,3.088379,85.714286,98.120117,40960.0,142.26
1789666129.694,2026-09-17T17:28:49.694000Z,13.96,physical_gpu,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,,,NVIDIA A100-SXM4-40GB,65,,37.5694,32.202343,,10.7505,10.7505,1265.0,38925.0,,3.147549,3.088379,85.714286,98.120117,40960.0,137.824
1789666134.694,2026-09-17T17:28:54.694000Z,18.96,physical_gpu,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,,,NVIDIA A100-SXM4-40GB,10,,37.4183,32.072829,,10.7065,10.7065,1265.0,38925.0,,3.147549,3.088379,85.714286,98.120117,40960.0,142.533
1789666139.694,2026-09-17T17:28:59.694000Z,23.96,physical_gpu,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,,,NVIDIA A100-SXM4-40GB,0,,36.6732,31.434171,,10.494,10.494,1265.0,38925.0,,3.147549,3.088379,85.714286,98.120117,40960.0,139.575
1789666144.694,2026-09-17T17:29:04.694000Z,28.96,physical_gpu,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,,,NVIDIA A100-SXM4-40GB,0,,0.0,0.0,,0.0,0.0,1265.0,38925.0,,3.147549,3.088379,85.714286,98.120117,40960.0,95.507
1789666099.694,2026-09-17T17:28:19.694000Z,-16.04,system,all,,,,,0,,0.0,0.0,,0.0,0.0,1265.0,38925.0,,3.147549,3.088379,85.714286,98.120117,40960.0,97.16
1789666104.694,2026-09-17T17:28:24.694000Z,-11.04,system,all,,,,,0,,0.0,0.0,,0.0,0.0,1265.0,38925.0,,3.147549,3.088379,85.714286,98.120117,40960.0,97.26
1789666109.694,2026-09-17T17:28:29.694000Z,-6.04,system,all,,,,,0,,0.0,0.0,,0.0,0.0,1265.0,38925.0,,3.147549,3.088379,85.714286,98.120117,40960.0,96.008
1789666114.694,2026-09-17T17:28:34.694000Z,-1.04,system,all,,,,,0,,0.0,0.0,,0.0,0.0,1265.0,38925.0,,3.147549,3.088379,85.714286,98.120117,40960.0,96.887
1789666119.694,2026-09-17T17:28:39.694000Z,3.96,system,all,,,,,175,,0.0,0.0,,0.0,0.0,1265.0,38925.0,,3.147549,3.088379,85.714286,98.120117,40960.0,96.107
1789666124.694,2026-09-17T17:28:44.694000Z,8.96,system,all,,,,,120,,24.95885,21.3933,,7.14795,7.14795,1265.0,38925.0,,3.147549,3.088379,85.714286,98.120117,40960.0,142.26
1789666129.694,2026-09-17T17:28:49.694000Z,13.96,system,all,,,,,65,,37.5694,32.202343,,10.7505,10.7505,1265.0,38925.0,,3.147549,3.088379,85.714286,98.120117,40960.0,137.824
1789666134.694,2026-09-17T17:28:54.694000Z,18.96,system,all,,,,,10,,37.4183,32.072829,,10.7065,10.7065,1265.0,38925.0,,3.147549,3.088379,85.714286,98.120117,40960.0,142.533
1789666139.694,2026-09-17T17:28:59.694000Z,23.96,system,all,,,,,0,,36.6732,31.434171,,10.494,10.494,1265.0,38925.0,,3.147549,3.088379,85.714286,98.120117,40960.0,139.575
1789666144.694,2026-09-17T17:29:04.694000Z,28.96,system,all,,,,,0,,0.0,0.0,,0.0,0.0,1265.0,38925.0,,3.147549,3.088379,85.714286,98.120117,40960.0,95.507
