idx,time,latency_sec,tokens,generation_time_sec,tok_per_sec,gpu_sm_avg_pct,gpu_dram_avg_pct,gpu_fb_used_avg_mib,gpu_power_avg_w
1,16:39:52.29,0.515,25,0.206,121.487,,,,
2,16:39:52.30,0.531,25,0.163,153.559,,,,
3,16:39:52.55,0.783,25,0.228,109.669,,,,
4,16:39:52.60,0.842,25,0.158,158.715,,,,
5,16:39:52.65,0.873,25,0.232,107.89,,,,
6,16:39:52.86,1.097,25,0.271,92.23,,,,
7,16:39:52.88,1.072,25,0.291,85.978,,,,
8,16:39:52.90,1.121,25,0.225,111.16,,,,
9,16:39:52.92,1.116,25,0.405,61.696,,,,
10,16:39:53.06,1.298,25,0.245,101.995,,,,
11,16:39:53.07,1.292,25,0.293,85.397,,,,
12,16:39:53.17,1.312,25,0.162,153.89,,,,
13,16:39:53.33,1.491,25,0.225,111.069,,,,
14,16:39:53.35,1.559,25,0.295,84.761,,,,
15,16:39:53.37,1.303,25,0.31,80.757,,,,
16,16:39:53.41,1.572,25,0.456,54.767,,,,
17,16:39:53.43,1.505,25,0.16,156.465,,,,
18,16:39:53.53,1.746,25,0.303,82.642,,,,
19,16:39:53.63,1.591,25,0.208,119.981,,,,
20,16:39:53.63,1.626,25,0.293,85.342,,,,
21,16:39:53.65,1.842,25,0.19,131.298,,,,
22,16:39:53.72,1.642,25,0.185,135.317,,,,
23,16:39:53.80,2.016,25,0.243,103.042,,,,
24,16:39:53.81,1.812,25,0.163,153.775,,,,
25,16:39:53.82,1.617,25,0.154,162.709,,,,
26,16:39:53.83,1.962,25,0.158,158.661,,,,
27,16:39:53.91,1.63,25,0.161,155.001,,,,
28,16:39:53.96,1.801,25,0.298,83.998,,,,
29,16:39:53.99,2.189,25,0.157,159.616,,,,
30,16:39:54.00,2.15,25,0.157,159.596,,,,
31,16:39:54.01,2.079,25,0.153,163.69,,,,
32,16:39:54.01,2.093,25,0.152,164.061,,,,
33,16:39:54.02,2.07,25,0.289,86.598,,,,
34,16:39:54.10,2.223,25,0.155,161.03,,,,
35,16:39:54.14,2.337,25,0.151,165.56,,,,
36,16:39:54.17,2.32,25,0.15,166.531,,,,
37,16:39:54.18,2.31,25,0.154,161.864,,,,
38,16:39:54.18,2.142,25,0.15,166.541,,,,
39,16:39:54.19,2.095,25,0.15,166.336,,,,
40,16:39:54.21,2.307,25,0.154,162.255,,,,
41,16:39:54.28,2.248,25,0.154,162.783,,,,
42,16:39:54.32,2.456,25,0.151,165.598,,,,
43,16:39:54.35,2.276,25,0.15,166.76,,,,
44,16:39:54.36,2.439,25,0.154,161.888,,,,
45,16:39:54.36,2.132,25,0.15,166.207,,,,
46,16:39:54.37,2.15,25,0.151,166.074,,,,
47,16:39:54.39,2.335,25,0.154,162.443,,,,
48,16:39:54.46,2.536,25,0.153,162.928,,,,
49,16:39:54.50,2.486,25,0.151,165.645,,,,
50,16:39:54.52,2.67,25,0.15,166.372,,,,
51,16:39:54.54,2.421,25,0.15,166.361,,,,
52,16:39:54.54,2.318,25,0.15,166.128,,,,
53,16:39:54.55,2.548,25,0.155,161.762,,,,
54,16:39:54.57,2.222,25,0.154,162.526,,,,
55,16:39:54.65,2.803,25,0.154,162.508,,,,
56,16:39:54.68,2.852,25,0.151,165.522,,,,
57,16:39:54.70,2.905,25,0.15,166.37,,,,
58,16:39:54.72,2.861,25,0.15,166.399,,,,
59,16:39:54.72,2.708,25,0.15,166.177,,,,
60,16:39:54.73,2.897,25,0.155,161.751,,,,
61,16:39:54.75,2.819,25,0.154,162.357,,,,
62,16:39:54.83,2.329,25,0.154,162.862,,,,
63,16:39:54.86,3.04,25,0.151,165.695,,,,
64,16:39:54.88,3.008,25,0.15,166.362,,,,
65,16:39:54.90,2.895,25,0.15,166.653,,,,
66,16:39:54.90,2.696,25,0.151,165.992,,,,
67,16:39:54.91,2.682,25,0.155,161.404,,,,
68,16:39:54.93,2.658,25,0.154,162.265,,,,
69,16:39:55.01,3.223,25,0.154,162.864,,,,
70,16:39:55.04,3.012,25,0.151,165.57,,,,
71,16:39:55.06,3.154,25,0.15,166.647,,,,
72,16:39:55.07,2.837,25,0.15,166.429,,,,
73,16:39:55.08,3.03,25,0.151,166.01,,,,
74,16:39:55.09,3.273,25,0.155,161.51,,,,
75,16:39:55.12,3.235,25,0.154,162.307,,,,
76,16:39:55.19,3.091,25,0.154,162.682,,,,
77,16:39:55.21,3.283,25,0.151,165.585,,,,
78,16:39:55.24,3.371,25,0.15,166.706,,,,
79,16:39:55.25,3.231,25,0.15,166.527,,,,
80,16:39:55.26,3.019,25,0.15,166.318,,,,
81,16:39:55.28,3.109,25,0.154,161.924,,,,
82,16:39:55.30,3.472,25,0.154,162.314,,,,
83,16:39:55.37,3.479,25,0.154,162.782,,,,
84,16:39:55.39,3.185,25,0.151,165.666,,,,
85,16:39:55.41,3.488,25,0.15,166.773,,,,
86,16:39:55.43,3.348,25,0.15,166.542,,,,
87,16:39:55.44,3.329,25,0.151,166.076,,,,
88,16:39:55.46,3.512,25,0.154,161.818,,,,
89,16:39:55.48,3.36,25,0.154,162.405,,,,
90,16:39:55.56,3.701,25,0.154,162.697,,,,
91,16:39:55.57,3.182,25,0.151,165.862,,,,
92,16:39:55.59,3.607,25,0.15,166.653,,,,
93,16:39:55.61,3.676,25,0.15,166.575,,,,
94,16:39:55.62,3.441,25,0.151,166.084,,,,
95,16:39:55.64,3.726,25,0.154,161.915,,,,
96,16:39:55.66,3.568,25,0.154,162.332,,,,
97,16:39:55.74,3.139,25,0.154,162.851,,,,
98,16:39:55.75,3.558,25,0.151,165.715,,,,
99,16:39:55.77,3.484,25,0.15,166.713,,,,
100,16:39:55.79,3.829,25,0.15,166.373,,,,
101,16:39:55.80,3.713,25,0.151,165.984,,,,
102,16:39:55.82,4.026,25,0.155,161.746,,,,
103,16:39:55.85,3.81,25,0.154,162.317,,,,
104,16:39:55.92,4.078,25,0.153,163.037,,,,
105,16:39:55.93,4.0,25,0.151,165.608,,,,
106,16:39:55.95,3.786,25,0.15,166.713,,,,
107,16:39:55.97,3.707,25,0.15,166.643,,,,
108,16:39:55.97,3.735,25,0.15,166.114,,,,
109,16:39:56.01,4.011,25,0.154,161.869,,,,
110,16:39:56.03,4.141,25,0.154,162.262,,,,
111,16:39:56.10,4.292,25,0.154,162.747,,,,
112,16:39:56.11,3.674,25,0.151,165.696,,,,
113,16:39:56.12,3.921,25,0.15,166.836,,,,
114,16:39:56.14,3.798,25,0.15,166.334,,,,
115,16:39:56.15,3.908,25,0.15,166.133,,,,
116,16:39:56.19,4.017,25,0.155,161.752,,,,
117,16:39:56.21,3.932,25,0.154,162.087,,,,
118,16:39:56.29,4.276,25,0.154,162.587,,,,
119,16:39:56.29,4.284,25,0.151,165.619,,,,
120,16:39:56.30,3.882,25,0.15,166.524,,,,
121,16:39:56.32,4.106,25,0.15,166.131,,,,
122,16:39:56.33,3.998,25,0.15,166.124,,,,
123,16:39:56.37,4.488,25,0.155,161.714,,,,
124,16:39:56.39,4.138,25,0.154,162.297,,,,
125,16:39:56.47,4.541,25,0.153,162.916,,,,
126,16:39:56.47,4.174,25,0.151,165.678,,,,
127,16:39:56.48,4.444,25,0.15,166.845,,,,
128,16:39:56.50,4.571,25,0.15,166.507,,,,
129,16:39:56.51,4.177,25,0.15,166.357,,,,
130,16:39:56.55,4.558,25,0.154,162.09,,,,
131,16:39:56.58,4.672,25,0.154,162.421,,,,
