idx,time,latency_sec,tokens,generation_time_sec,tok_per_sec,gpu_sm_avg_pct,gpu_dram_avg_pct,gpu_fb_used_avg_mib,gpu_power_avg_w
1,17:30:11.18,0.311,25,0.086,292.216,,,,
2,17:30:12.16,1.275,25,0.076,329.758,,,,
3,17:30:13.97,3.033,25,0.073,340.669,,,,
4,17:30:14.29,3.396,25,0.076,330.653,,,,
5,17:30:14.40,3.526,25,0.084,297.557,,,,
6,17:30:14.50,3.585,25,0.071,353.767,,,,
7,17:30:14.59,3.552,25,0.07,356.616,,,,
8,17:30:14.68,3.724,25,0.07,357.717,,,,
9,17:30:14.77,3.655,25,0.07,355.136,,,,
10,17:30:14.86,3.761,25,0.07,356.429,,,,
11,17:30:14.96,4.056,25,0.07,355.725,,,,
12,17:30:15.05,3.914,25,0.07,355.924,,,,
13,17:30:15.14,3.988,25,0.07,358.088,,,,
14,17:30:15.23,4.063,25,0.07,358.23,,,,
15,17:30:15.32,4.171,25,0.07,356.903,,,,
16,17:30:15.41,4.543,25,0.07,357.827,,,,
17,17:30:15.50,4.234,25,0.07,357.707,,,,
18,17:30:15.59,3.273,25,0.07,356.725,,,,
19,17:30:15.68,3.634,25,0.07,358.866,,,,
20,17:30:15.78,3.576,25,0.07,357.817,,,,
21,17:30:15.87,4.816,25,0.07,357.824,,,,
22,17:30:15.96,4.655,25,0.07,358.445,,,,
23,17:30:16.05,4.57,25,0.07,359.248,,,,
24,17:30:16.14,5.257,25,0.07,358.14,,,,
25,17:30:16.23,5.358,25,0.07,357.89,,,,
26,17:30:16.32,4.859,25,0.07,357.654,,,,
27,17:30:16.41,5.002,25,0.07,357.848,,,,
28,17:30:16.51,5.026,25,0.07,356.99,,,,
29,17:30:16.60,5.552,25,0.07,356.726,,,,
30,17:30:16.69,5.686,25,0.07,359.338,,,,
31,17:30:16.78,5.794,25,0.07,357.744,,,,
32,17:30:16.87,5.554,25,0.07,357.22,,,,
33,17:30:16.96,5.962,25,0.07,356.862,,,,
34,17:30:17.05,6.05,25,0.07,355.408,,,,
35,17:30:17.14,6.258,25,0.07,356.706,,,,
36,17:30:17.24,6.18,25,0.07,355.807,,,,
37,17:30:17.33,5.939,25,0.07,357.695,,,,
38,17:30:17.42,5.954,25,0.07,359.404,,,,
39,17:30:17.51,5.988,25,0.07,358.414,,,,
40,17:30:17.60,6.099,25,0.07,358.779,,,,
41,17:30:17.69,6.638,25,0.07,357.108,,,,
