idx,time,latency_sec,tokens,generation_time_sec,tok_per_sec,gpu_sm_avg_pct,gpu_dram_avg_pct,gpu_fb_used_avg_mib,gpu_power_avg_w
1,17:19:19.18,0.477,25,0.117,212.865,,,,
2,17:19:19.53,0.822,25,0.281,88.998,,,,
3,17:19:19.57,0.873,25,0.159,157.413,,,,
4,17:19:19.90,0.981,25,0.108,230.777,,,,
5,17:19:20.12,1.128,25,0.121,206.766,,,,
6,17:19:20.16,1.41,25,0.331,75.503,,,,
7,17:19:20.47,1.733,25,0.187,133.902,,,,
8,17:19:20.95,2.229,25,0.392,63.789,,,,
9,17:19:20.90,2.117,25,0.341,73.402,,,,
10,17:19:20.56,1.769,25,0.693,36.074,,,,
11,17:19:21.11,2.324,25,0.332,75.277,,,,
12,17:19:21.24,2.509,25,0.098,255.957,,,,
13,17:19:20.88,2.087,25,0.502,49.781,,,,
14,17:19:21.67,2.841,25,0.244,102.556,,,,
15,17:19:21.92,2.918,25,0.329,75.909,,,,
16,17:19:21.98,3.059,25,0.163,153.454,,,,
17,17:19:22.28,3.46,25,0.118,211.197,,,,
18,17:19:22.37,3.599,25,0.158,157.77,,,,
19,17:19:22.50,3.793,25,0.382,65.519,,,,
20,17:19:22.57,3.825,25,0.377,66.368,,,,
21,17:19:22.54,3.81,25,0.145,172.21,,,,
22,17:19:22.80,3.994,25,0.188,132.795,,,,
23,17:19:23.03,3.639,25,0.255,97.946,,,,
24,17:19:23.08,4.013,25,0.44,56.796,,,,
25,17:19:23.12,3.845,25,0.058,431.96,,,,
26,17:19:23.22,4.456,25,0.434,57.652,,,,
27,17:19:23.23,4.179,25,0.078,318.91,,,,
28,17:19:23.30,4.449,25,0.52,48.077,,,,
29,17:19:23.36,3.467,25,0.094,265.681,,,,
30,17:19:23.50,4.781,25,0.269,92.881,,,,
31,17:19:23.54,4.605,25,0.501,49.877,,,,
32,17:19:23.56,4.802,25,0.171,146.234,,,,
33,17:19:23.78,4.966,25,0.354,70.679,,,,
34,17:19:23.80,4.953,25,0.264,94.631,,,,
35,17:19:23.91,4.782,25,0.319,78.439,,,,
36,17:19:23.93,4.933,25,0.307,81.392,,,,
37,17:19:23.96,4.422,25,0.559,44.742,,,,
38,17:19:24.17,5.0,25,0.354,70.523,,,,
39,17:19:24.18,5.424,25,0.349,71.674,,,,
40,17:19:24.30,5.552,25,0.352,71.012,,,,
41,17:19:24.33,4.727,25,0.361,69.334,,,,
42,17:19:24.37,5.107,25,0.37,67.526,,,,
43,17:19:24.57,5.409,25,0.361,69.332,,,,
44,17:19:24.59,5.171,25,0.366,68.234,,,,
45,17:19:24.72,5.453,25,0.379,66.044,,,,
46,17:19:24.74,6.034,25,0.38,65.874,,,,
47,17:19:24.79,5.638,25,0.386,64.77,,,,
48,17:19:24.99,6.197,25,0.391,63.898,,,,
49,17:19:25.01,6.145,25,0.39,64.115,,,,
50,17:19:25.13,5.014,25,0.373,67.075,,,,
51,17:19:25.15,6.144,25,0.371,67.449,,,,
52,17:19:25.21,6.362,25,0.384,65.067,,,,
53,17:19:25.45,6.636,25,0.416,60.114,,,,
54,17:19:25.47,6.465,25,0.425,58.778,,,,
55,17:19:25.63,6.918,25,0.469,53.341,,,,
56,17:19:25.66,6.796,25,0.475,52.65,,,,
57,17:19:25.71,7.019,25,0.484,51.699,,,,
58,17:19:25.73,6.819,25,0.474,52.691,,,,
59,17:19:26.00,6.841,25,0.51,49.023,,,,
60,17:19:26.01,7.32,25,0.511,48.896,,,,
