idx,time,latency_sec,tokens,generation_time_sec,tok_per_sec,gpu_sm_avg_pct,gpu_dram_avg_pct,gpu_fb_used_avg_mib,gpu_power_avg_w
1,16:39:17.26,0.504,25,0.176,142.0,,,,
2,16:39:17.48,0.698,25,0.187,133.364,,,,
3,16:39:17.51,0.736,25,0.187,133.991,,,,
4,16:39:17.51,0.651,25,0.196,127.659,,,,
5,16:39:17.56,0.783,25,0.161,155.524,,,,
6,16:39:17.70,0.912,25,0.211,118.467,,,,
7,16:39:17.73,0.896,25,0.181,138.099,,,,
8,16:39:17.72,0.945,25,0.197,126.697,,,,
9,16:39:17.74,0.941,25,0.157,158.774,,,,
10,16:39:17.77,0.897,25,0.176,142.378,,,,
11,16:39:17.83,0.89,25,0.161,155.584,,,,
12,16:39:17.89,1.083,25,0.157,159.734,,,,
13,16:39:17.92,1.031,25,0.16,155.868,,,,
14,16:39:17.94,1.089,25,0.167,149.468,,,,
15,16:39:17.95,1.156,25,0.333,75.13,,,,
16,16:39:17.97,1.104,25,0.171,146.622,,,,
17,16:39:17.97,1.211,25,0.177,141.523,,,,
18,16:39:18.03,1.261,25,0.156,160.054,,,,
19,16:39:18.08,1.09,25,0.155,161.443,,,,
20,16:39:18.10,1.301,25,0.151,165.425,,,,
21,16:39:18.12,1.225,25,0.151,166.042,,,,
22,16:39:18.13,1.37,25,0.153,162.968,,,,
23,16:39:18.15,1.336,25,0.15,166.208,,,,
24,16:39:18.15,1.295,25,0.151,165.29,,,,
25,16:39:18.21,1.416,25,0.155,161.335,,,,
26,16:39:18.26,1.47,25,0.154,162.252,,,,
27,16:39:18.28,1.363,25,0.151,165.8,,,,
28,16:39:18.30,1.459,25,0.151,165.814,,,,
29,16:39:18.31,1.505,25,0.153,162.901,,,,
30,16:39:18.33,1.512,25,0.15,166.506,,,,
31,16:39:18.33,1.568,25,0.151,165.248,,,,
32,16:39:18.40,1.464,25,0.155,161.713,,,,
33,16:39:18.44,1.504,25,0.154,161.98,,,,
34,16:39:18.46,1.592,25,0.151,165.845,,,,
35,16:39:18.48,1.522,25,0.15,166.434,,,,
36,16:39:18.50,1.651,25,0.154,162.64,,,,
37,16:39:18.50,1.508,25,0.15,166.581,,,,
38,16:39:18.51,1.521,25,0.151,165.401,,,,
39,16:39:18.58,1.708,25,0.154,162.176,,,,
40,16:39:18.62,1.732,25,0.154,161.925,,,,
41,16:39:18.64,1.68,25,0.15,166.143,,,,
42,16:39:18.66,1.721,25,0.15,166.38,,,,
43,16:39:18.68,1.613,25,0.154,162.691,,,,
44,16:39:18.68,1.68,25,0.15,166.631,,,,
45,16:39:18.69,1.911,25,0.151,165.746,,,,
46,16:39:18.76,1.976,25,0.154,161.877,,,,
47,16:39:18.81,1.872,25,0.154,162.553,,,,
48,16:39:18.82,1.932,25,0.15,166.271,,,,
49,16:39:18.84,1.91,25,0.15,166.523,,,,
50,16:39:18.86,1.836,25,0.153,162.934,,,,
51,16:39:18.86,1.761,25,0.15,166.434,,,,
52,16:39:18.87,1.966,25,0.151,166.062,,,,
53,16:39:18.94,2.167,25,0.155,161.724,,,,
54,16:39:18.99,2.019,25,0.154,162.175,,,,
55,16:39:18.99,2.04,25,0.15,166.216,,,,
56,16:39:19.02,2.137,25,0.15,166.372,,,,
57,16:39:19.04,2.177,25,0.15,166.554,,,,
58,16:39:19.04,2.134,25,0.154,162.63,,,,
59,16:39:19.05,2.057,25,0.151,165.456,,,,
60,16:39:19.13,2.154,25,0.154,162.223,,,,
61,16:39:19.17,2.179,25,0.15,166.447,,,,
62,16:39:19.17,2.227,25,0.154,162.479,,,,
63,16:39:19.22,2.395,25,0.15,167.053,,,,
64,16:39:19.22,2.165,25,0.153,163.03,,,,
65,16:39:19.23,2.459,25,0.15,166.113,,,,
66,16:39:19.31,2.397,25,0.154,162.082,,,,
67,16:39:19.35,2.39,25,0.154,162.853,,,,
68,16:39:19.39,2.444,25,0.15,167.01,,,,
69,16:39:19.40,2.564,25,0.153,163.183,,,,
70,16:39:19.40,2.499,25,0.151,166.068,,,,
71,16:39:19.49,2.529,25,0.154,162.356,,,,
72,16:39:19.57,2.571,25,0.149,167.414,,,,
73,16:39:19.58,2.741,25,0.15,166.564,,,,
74,16:39:19.58,2.52,25,0.153,163.252,,,,
75,16:39:19.67,2.737,25,0.154,162.279,,,,
76,16:39:19.74,2.847,25,0.149,167.483,,,,
77,16:39:19.76,2.764,25,0.15,166.472,,,,
78,16:39:19.76,2.697,25,0.153,163.5,,,,
79,16:39:19.85,2.873,25,0.153,163.248,,,,
80,16:39:19.93,3.095,25,0.15,166.874,,,,
81,16:39:19.94,3.025,25,0.153,163.625,,,,
82,16:39:20.03,3.2,25,0.153,163.098,,,,
83,16:39:20.11,3.114,25,0.15,166.434,,,,
84,16:39:20.12,3.311,25,0.152,163.974,,,,
85,16:39:20.21,3.282,25,0.154,162.614,,,,
86,16:39:20.28,3.254,25,0.15,166.575,,,,
87,16:39:20.30,3.454,25,0.153,163.564,,,,
88,16:39:20.39,3.41,25,0.154,162.653,,,,
