timestamp_unix_s,timestamp_utc,relative_to_test_start_s,scope,gpu_uuid,gpu,gpu_i_id,gpu_i_profile,model_name,active_requests,sm_partition_pct,sm_configured_pct,sm_physical_pct,dram_partition_pct,dram_configured_pct,dram_physical_pct,fb_used_mib,fb_free_mib,fb_util_partition_pct,fb_util_configured_pct,fb_util_physical_pct,configured_compute_pct,configured_memory_pct,physical_memory_mib,power_w
1789665026.17,2026-09-17T17:10:26.170000Z,-17.871,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,0,7g.40gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,8982.0,31459.0,22.210133,,,,,40960.0,
1789665031.17,2026-09-17T17:10:31.170000Z,-12.871,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,0,7g.40gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,8982.0,31459.0,22.210133,,,,,40960.0,
1789665036.17,2026-09-17T17:10:36.170000Z,-7.871,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,0,7g.40gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,8982.0,31459.0,22.210133,,,,,40960.0,
1789665041.17,2026-09-17T17:10:41.170000Z,-2.871,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,0,7g.40gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,8982.0,31459.0,22.210133,,,,,40960.0,
1789665046.17,2026-09-17T17:10:46.170000Z,2.129,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,0,7g.40gb,NVIDIA A100-SXM4-40GB,182,0.0,,,0.0,,,8982.0,31459.0,22.210133,,,,,40960.0,
1789665051.17,2026-09-17T17:10:51.170000Z,7.129,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,0,7g.40gb,NVIDIA A100-SXM4-40GB,118,62.5983,,,8.5469,,,8982.0,31459.0,22.210133,,,,,40960.0,
1789665056.17,2026-09-17T17:10:56.170000Z,12.129,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,0,7g.40gb,NVIDIA A100-SXM4-40GB,54,99.9689,,,12.6821,,,8982.0,31459.0,22.210133,,,,,40960.0,
1789665061.17,2026-09-17T17:11:01.170000Z,17.129,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,0,7g.40gb,NVIDIA A100-SXM4-40GB,0,99.9614,,,12.6862,,,8982.0,31459.0,22.210133,,,,,40960.0,
1789665066.17,2026-09-17T17:11:06.170000Z,22.129,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,0,7g.40gb,NVIDIA A100-SXM4-40GB,0,38.386,,,5.5852,,,8984.0,31457.0,22.215079,,,,,40960.0,
1789665071.17,2026-09-17T17:11:11.170000Z,27.129,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,0,7g.40gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,8984.0,31457.0,22.215079,,,,,40960.0,
1789665026.17,2026-09-17T17:10:26.170000Z,-17.871,physical_gpu,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,,,NVIDIA A100-SXM4-40GB,0,,0.0,0.0,,0.0,0.0,8982.0,31459.0,,22.210133,21.928711,100.0,98.73291,40960.0,98.14
1789665031.17,2026-09-17T17:10:31.170000Z,-12.871,physical_gpu,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,,,NVIDIA A100-SXM4-40GB,0,,0.0,0.0,,0.0,0.0,8982.0,31459.0,,22.210133,21.928711,100.0,98.73291,40960.0,97.759
