idx,time,latency_sec,tokens,generation_time_sec,tok_per_sec,gpu_sm_avg_pct,gpu_dram_avg_pct,gpu_fb_used_avg_mib,gpu_power_avg_w
1,17:27:45.94,0.819,25,0.073,344.598,,,,
2,17:27:46.05,0.921,25,0.073,343.573,,,,
3,17:27:46.15,1.005,25,0.07,356.872,,,,
4,17:27:46.24,0.978,25,0.07,357.261,,,,
5,17:27:46.33,1.204,25,0.07,355.343,,,,
6,17:27:46.42,1.298,25,0.07,355.724,,,,
7,17:27:46.51,1.368,25,0.07,354.973,,,,
8,17:27:46.60,1.433,25,0.07,357.36,,,,
9,17:27:46.70,1.563,25,0.07,358.819,,,,
10,17:27:46.79,1.647,25,0.07,356.441,,,,
11,17:27:46.88,1.619,25,0.07,357.08,,,,
12,17:27:46.97,1.772,25,0.07,355.576,,,,
13,17:27:47.06,1.93,25,0.07,355.056,,,,
14,17:27:47.15,1.911,25,0.07,358.237,,,,
15,17:27:47.24,1.985,25,0.07,357.091,,,,
16,17:27:47.34,2.076,25,0.07,359.21,,,,
17,17:27:47.43,2.213,25,0.07,358.58,,,,
18,17:27:47.52,2.361,25,0.07,358.186,,,,
19,17:27:47.61,2.439,25,0.07,356.878,,,,
20,17:27:47.70,2.382,25,0.07,358.272,,,,
21,17:27:47.79,2.645,25,0.07,358.805,,,,
22,17:27:47.88,2.623,25,0.07,355.534,,,,
23,17:27:47.97,2.649,25,0.07,356.84,,,,
24,17:27:48.07,2.893,25,0.07,358.017,,,,
25,17:27:48.16,2.961,25,0.07,355.837,,,,
26,17:27:48.25,2.826,25,0.07,358.293,,,,
27,17:27:48.34,3.17,25,0.07,358.384,,,,
28,17:27:48.43,3.038,25,0.07,358.217,,,,
29,17:27:48.52,3.344,25,0.07,357.495,,,,
30,17:27:48.62,3.374,25,0.07,357.807,,,,
31,17:27:48.71,3.451,25,0.07,358.565,,,,
32,17:27:48.80,3.6,25,0.07,356.91,,,,
33,17:27:48.89,3.691,25,0.07,357.311,,,,
34,17:27:48.98,3.809,25,0.07,357.861,,,,
35,17:27:49.07,3.708,25,0.07,358.355,,,,
36,17:27:49.16,3.835,25,0.07,356.34,,,,
37,17:27:49.25,3.839,25,0.07,356.228,,,,
38,17:27:49.35,4.085,25,0.07,356.657,,,,
39,17:27:49.44,4.023,25,0.07,359.111,,,,
40,17:27:49.53,4.112,25,0.07,355.505,,,,
41,17:27:49.62,4.205,25,0.07,358.143,,,,
42,17:27:49.71,4.301,25,0.07,357.24,,,,
43,17:27:49.80,4.63,25,0.07,357.24,,,,
44,17:27:49.89,4.478,25,0.07,357.92,,,,
45,17:27:49.99,4.575,25,0.07,357.116,,,,
