idx,time,latency_sec,tokens,generation_time_sec,tok_per_sec,gpu_sm_avg_pct,gpu_dram_avg_pct,gpu_fb_used_avg_mib,gpu_power_avg_w
1,17:11:27.04,0.278,25,0.064,389.098,,,,
2,17:11:27.17,0.394,25,0.087,288.245,,,,
3,17:11:27.25,0.491,25,0.132,189.498,,,,
4,17:11:27.46,0.693,25,0.084,296.304,,,,
5,17:11:27.90,1.12,25,0.281,88.891,,,,
6,17:11:27.96,1.176,25,0.344,72.683,,,,
7,17:11:28.04,1.255,25,0.332,75.318,,,,
8,17:11:28.07,1.223,25,0.362,68.967,,,,
9,17:11:28.34,1.572,25,0.693,36.08,,,,
10,17:11:28.44,1.589,25,0.249,100.471,,,,
11,17:11:28.69,1.92,25,0.306,81.792,,,,
12,17:11:28.93,2.158,25,0.428,58.425,,,,
13,17:11:28.95,2.132,25,0.473,52.857,,,,
14,17:11:28.96,1.976,25,0.395,63.349,,,,
15,17:11:28.97,2.136,25,0.202,123.575,,,,
16,17:11:29.22,2.436,25,0.186,134.592,,,,
17,17:11:29.26,2.343,25,0.072,344.904,,,,
18,17:11:29.26,2.498,25,0.134,186.083,,,,
19,17:11:29.14,2.342,25,0.355,70.43,,,,
20,17:11:29.41,2.555,25,0.154,162.643,,,,
21,17:11:29.60,2.74,25,0.273,91.672,,,,
22,17:11:29.67,2.913,25,0.41,60.991,,,,
23,17:11:29.69,2.808,25,0.425,58.838,,,,
24,17:11:29.69,2.673,25,0.768,32.561,,,,
25,17:11:29.83,2.924,25,0.368,67.868,,,,
26,17:11:29.86,2.984,25,0.357,69.972,,,,
27,17:11:29.97,3.064,25,0.586,42.664,,,,
28,17:11:30.14,3.329,25,0.484,51.665,,,,
29,17:11:30.21,3.031,25,0.495,50.523,,,,
30,17:11:30.22,3.376,25,0.495,50.455,,,,
31,17:11:30.25,3.369,25,0.501,49.852,,,,
32,17:11:30.38,3.494,25,0.506,49.412,,,,
33,17:11:30.41,3.573,25,0.506,49.399,,,,
34,17:11:30.52,3.108,25,0.505,49.554,,,,
35,17:11:30.68,3.846,25,0.506,49.422,,,,
36,17:11:30.76,3.923,25,0.505,49.505,,,,
37,17:11:30.77,3.855,25,0.504,49.616,,,,
38,17:11:30.79,3.554,25,0.505,49.472,,,,
39,17:11:30.93,3.974,25,0.506,49.388,,,,
40,17:11:30.96,4.064,25,0.505,49.524,,,,
41,17:11:31.07,3.57,25,0.506,49.383,,,,
42,17:11:31.23,4.309,25,0.505,49.47,,,,
43,17:11:31.31,4.314,25,0.506,49.403,,,,
44,17:11:31.31,4.397,25,0.502,49.833,,,,
45,17:11:31.34,3.753,25,0.506,49.407,,,,
46,17:11:31.48,4.05,25,0.505,49.484,,,,
47,17:11:31.51,4.169,25,0.51,49.021,,,,
48,17:11:31.61,4.473,25,0.505,49.508,,,,
49,17:11:31.78,4.736,25,0.506,49.43,,,,
50,17:11:31.85,4.779,25,0.506,49.44,,,,
51,17:11:31.86,5.065,25,0.504,49.616,,,,
52,17:11:31.89,4.697,25,0.506,49.403,,,,
53,17:11:32.02,5.16,25,0.505,49.53,,,,
54,17:11:32.06,4.922,25,0.504,49.601,,,,
55,17:11:32.16,4.932,25,0.504,49.558,,,,
56,17:11:32.32,5.222,25,0.505,49.522,,,,
57,17:11:32.40,5.43,25,0.504,49.621,,,,
58,17:11:32.40,5.214,25,0.506,49.45,,,,
59,17:11:32.43,5.306,25,0.503,49.682,,,,
60,17:11:32.57,5.674,25,0.504,49.555,,,,
61,17:11:32.60,5.437,25,0.503,49.693,,,,
62,17:11:32.71,5.622,25,0.505,49.488,,,,
63,17:11:32.87,5.936,25,0.505,49.481,,,,
64,17:11:32.95,6.124,25,0.505,49.537,,,,
65,17:11:32.95,5.805,25,0.504,49.616,,,,
66,17:11:32.98,5.579,25,0.505,49.547,,,,
67,17:11:33.12,6.216,25,0.503,49.695,,,,
68,17:11:33.15,5.789,25,0.505,49.479,,,,
69,17:11:33.25,5.97,25,0.504,49.604,,,,
70,17:11:33.42,6.595,25,0.505,49.457,,,,
71,17:11:33.49,6.617,25,0.505,49.475,,,,
72,17:11:33.50,5.916,25,0.505,49.509,,,,
73,17:11:33.53,6.447,25,0.505,49.506,,,,
74,17:11:33.66,6.253,25,0.504,49.559,,,,
75,17:11:33.70,6.678,25,0.506,49.45,,,,
76,17:11:33.80,6.759,25,0.505,49.554,,,,
77,17:11:33.96,7.146,25,0.503,49.72,,,,
78,17:11:34.04,7.237,25,0.504,49.572,,,,
79,17:11:34.05,6.613,25,0.511,48.906,,,,
80,17:11:34.08,6.867,25,0.504,49.597,,,,
81,17:11:34.21,7.171,25,0.504,49.597,,,,
82,17:11:34.24,7.079,25,0.502,49.831,,,,
83,17:11:34.35,7.269,25,0.504,49.629,,,,
84,17:11:34.51,7.425,25,0.504,49.642,,,,
85,17:11:34.59,7.505,25,0.507,49.294,,,,
86,17:11:34.60,7.181,25,0.504,49.612,,,,
87,17:11:34.62,7.516,25,0.504,49.561,,,,
88,17:11:34.76,7.777,25,0.502,49.766,,,,
89,17:11:34.79,7.316,25,0.506,49.4,,,,
90,17:11:34.90,7.628,25,0.506,49.437,,,,
91,17:11:35.05,7.885,25,0.505,49.546,,,,
92,17:11:35.13,7.939,25,0.505,49.464,,,,
93,17:11:35.14,7.939,25,0.502,49.84,,,,
94,17:11:35.17,8.348,25,0.504,49.601,,,,
95,17:11:35.30,8.393,25,0.506,49.405,,,,
96,17:11:35.33,7.912,25,0.503,49.732,,,,
97,17:11:35.44,8.234,25,0.503,49.718,,,,
98,17:11:35.60,8.518,25,0.506,49.401,,,,
99,17:11:35.68,8.158,25,0.504,49.614,,,,
100,17:11:35.69,8.727,25,0.505,49.503,,,,
101,17:11:35.71,8.727,25,0.504,49.557,,,,
102,17:11:35.85,8.98,25,0.505,49.511,,,,
103,17:11:35.88,8.932,25,0.504,49.63,,,,
104,17:11:35.99,8.767,25,0.505,49.533,,,,
105,17:11:36.15,9.045,25,0.507,49.349,,,,
106,17:11:36.22,8.794,25,0.503,49.685,,,,
107,17:11:36.24,8.679,25,0.504,49.573,,,,
108,17:11:36.26,8.892,25,0.504,49.591,,,,
109,17:11:36.39,9.524,25,0.503,49.675,,,,
110,17:11:36.43,9.296,25,0.507,49.314,,,,
111,17:11:36.53,9.12,25,0.504,49.587,,,,
112,17:11:36.69,8.99,25,0.505,49.53,,,,
113,17:11:36.77,9.329,25,0.505,49.534,,,,
114,17:11:36.78,9.677,25,0.505,49.511,,,,
115,17:11:36.81,9.926,25,0.505,49.498,,,,
116,17:11:36.94,9.972,25,0.504,49.632,,,,
117,17:11:36.97,9.551,25,0.506,49.425,,,,
118,17:11:37.08,9.698,25,0.506,49.42,,,,
119,17:11:37.24,10.156,25,0.503,49.707,,,,
120,17:11:37.32,10.021,25,0.507,49.341,,,,
121,17:11:37.33,10.462,25,0.504,49.561,,,,
122,17:11:37.35,10.167,25,0.504,49.557,,,,
123,17:11:37.49,10.658,25,0.503,49.687,,,,
124,17:11:37.52,10.673,25,0.504,49.626,,,,
125,17:11:37.63,9.792,25,0.504,49.649,,,,
126,17:11:37.78,10.32,25,0.506,49.415,,,,
127,17:11:37.86,10.498,25,0.503,49.66,,,,
128,17:11:37.87,10.836,25,0.503,49.655,,,,
129,17:11:37.90,11.034,25,0.503,49.665,,,,
130,17:11:38.03,10.872,25,0.503,49.749,,,,
131,17:11:38.07,10.828,25,0.506,49.388,,,,
132,17:11:38.17,11.138,25,0.505,49.532,,,,
133,17:11:38.33,11.208,25,0.502,49.823,,,,
134,17:11:38.41,11.576,25,0.503,49.654,,,,
135,17:11:38.42,11.408,25,0.506,49.368,,,,
136,17:11:38.45,11.586,25,0.504,49.56,,,,
137,17:11:38.58,11.189,25,0.506,49.431,,,,
138,17:11:38.61,11.136,25,0.504,49.559,,,,
139,17:11:38.72,11.361,25,0.504,49.591,,,,
140,17:11:38.88,11.755,25,0.505,49.515,,,,
141,17:11:38.95,11.506,25,0.506,49.455,,,,
142,17:11:38.97,11.621,25,0.506,49.454,,,,
143,17:11:38.99,12.062,25,0.505,49.527,,,,
144,17:11:39.13,11.697,25,0.504,49.643,,,,
145,17:11:39.16,11.724,25,0.506,49.438,,,,
146,17:11:39.26,12.272,25,0.505,49.517,,,,
147,17:11:39.42,12.502,25,0.504,49.616,,,,
148,17:11:39.50,12.704,25,0.504,49.595,,,,
149,17:11:39.51,11.955,25,0.503,49.654,,,,
150,17:11:39.54,11.902,25,0.504,49.579,,,,
151,17:11:39.67,12.559,25,0.503,49.671,,,,
152,17:11:39.70,12.713,25,0.504,49.573,,,,
153,17:11:39.81,12.472,25,0.502,49.789,,,,
154,17:11:39.97,12.734,25,0.503,49.655,,,,
155,17:11:40.05,12.516,25,0.505,49.488,,,,
156,17:11:40.06,12.758,25,0.503,49.66,,,,
157,17:11:40.08,12.759,25,0.506,49.43,,,,
158,17:11:40.22,12.903,25,0.505,49.553,,,,
159,17:11:40.25,13.256,25,0.506,49.431,,,,
160,17:11:40.36,13.323,25,0.506,49.424,,,,
161,17:11:40.52,13.393,25,0.503,49.68,,,,
162,17:11:40.59,13.827,25,0.502,49.753,,,,
163,17:11:40.61,13.397,25,0.504,49.643,,,,
164,17:11:40.63,13.15,25,0.505,49.543,,,,
165,17:11:40.77,13.207,25,0.504,49.577,,,,
166,17:11:40.80,13.346,25,0.505,49.535,,,,
167,17:11:40.90,13.555,25,0.505,49.502,,,,
168,17:11:41.06,13.759,25,0.505,49.46,,,,
169,17:11:41.14,14.047,25,0.505,49.51,,,,
170,17:11:41.15,13.976,25,0.505,49.526,,,,
171,17:11:41.18,13.917,25,0.504,49.642,,,,
172,17:11:41.31,13.754,25,0.506,49.425,,,,
173,17:11:41.34,13.631,25,0.503,49.687,,,,
174,17:11:41.45,14.621,25,0.502,49.753,,,,
