timestamp_unix_s,timestamp_utc,relative_to_test_start_s,scope,gpu_uuid,gpu,gpu_i_id,gpu_i_profile,model_name,active_requests,sm_partition_pct,sm_configured_pct,sm_physical_pct,dram_partition_pct,dram_configured_pct,dram_physical_pct,fb_used_mib,fb_free_mib,fb_util_partition_pct,fb_util_configured_pct,fb_util_physical_pct,configured_compute_pct,configured_memory_pct,physical_memory_mib,power_w
1789666134.694,2026-09-17T17:28:54.694000Z,-19.046,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,0,74.8366,,,21.413,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666134.694,2026-09-17T17:28:54.694000Z,-19.046,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666139.694,2026-09-17T17:28:59.694000Z,-14.046,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,0,73.3464,,,20.988,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666139.694,2026-09-17T17:28:59.694000Z,-14.046,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666144.694,2026-09-17T17:29:04.694000Z,-9.046,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666144.694,2026-09-17T17:29:04.694000Z,-9.046,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666149.694,2026-09-17T17:29:09.694000Z,-4.046,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666149.694,2026-09-17T17:29:09.694000Z,-4.046,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666154.694,2026-09-17T17:29:14.694000Z,0.954,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,300,0.0,,,0.0,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666154.694,2026-09-17T17:29:14.694000Z,0.954,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,300,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666159.694,2026-09-17T17:29:19.694000Z,5.954,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,262,2.7277,,,0.7822,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666159.694,2026-09-17T17:29:19.694000Z,5.954,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,262,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666164.694,2026-09-17T17:29:24.694000Z,10.954,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,208,64.5347,,,18.4669,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666164.694,2026-09-17T17:29:24.694000Z,10.954,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,208,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666169.694,2026-09-17T17:29:29.694000Z,15.954,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,153,74.9431,,,21.4353,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666169.694,2026-09-17T17:29:29.694000Z,15.954,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,153,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666174.694,2026-09-17T17:29:34.694000Z,20.954,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,98,74.8957,,,21.4235,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666174.694,2026-09-17T17:29:34.694000Z,20.954,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,98,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666179.694,2026-09-17T17:29:39.694000Z,25.954,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,43,74.9093,,,21.4278,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666179.694,2026-09-17T17:29:39.694000Z,25.954,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,43,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666184.694,2026-09-17T17:29:44.694000Z,30.954,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,0,74.8933,,,21.4215,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666184.694,2026-09-17T17:29:44.694000Z,30.954,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666189.694,2026-09-17T17:29:49.694000Z,35.954,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,0,43.1103,,,12.3478,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666189.694,2026-09-17T17:29:49.694000Z,35.954,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666194.694,2026-09-17T17:29:54.694000Z,40.954,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666194.694,2026-09-17T17:29:54.694000Z,40.954,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666134.694,2026-09-17T17:28:54.694000Z,-19.046,physical_gpu,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,,,NVIDIA A100-SXM4-40GB,0,,37.4183,32.072829,,10.7065,10.7065,1265.0,38925.0,,3.147549,3.088379,85.714286,98.120117,40960.0,142.533
1789666139.694,2026-09-17T17:28:59.694000Z,-14.046,physical_gpu,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,,,NVIDIA A100-SXM4-40GB,0,,36.6732,31.434171,,10.494,10.494,1265.0,38925.0,,3.147549,3.088379,85.714286,98.120117,40960.0,139.575
1789666144.694,2026-09-17T17:29:04.694000Z,-9.046,physical_gpu,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,,,NVIDIA A100-SXM4-40GB,0,,0.0,0.0,,0.0,0.0,1265.0,38925.0,,3.147549,3.088379,85.714286,98.120117,40960.0,95.507
1789666149.694,2026-09-17T17:29:09.694000Z,-4.046,physical_gpu,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,,,NVIDIA A100-SXM4-40GB,0,,0.0,0.0,,0.0,0.0,1265.0,38925.0,,3.147549,3.088379,85.714286,98.120117,40960.0,95.4575
1789666154.694,2026-09-17T17:29:14.694000Z,0.954,physical_gpu,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,,,NVIDIA A100-SXM4-40GB,300,,0.0,0.0,,0.0,0.0,1265.0,38925.0,,3.147549,3.088379,85.714286,98.120117,40960.0,95.234
1789666159.694,2026-09-17T17:29:19.694000Z,5.954,physical_gpu,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,,,NVIDIA A100-SXM4-40GB,262,,1.36385,1.169014,,0.3911,0.3911,1265.0,38925.0,,3.147549,3.088379,85.714286,98.120117,40960.0,95.234
