idx,time,latency_sec,tokens,generation_time_sec,tok_per_sec,gpu_sm_avg_pct,gpu_dram_avg_pct,gpu_fb_used_avg_mib,gpu_power_avg_w
1,17:25:42.08,0.169,25,0.07,355.607,,,,
2,17:25:42.17,0.265,25,0.07,359.173,,,,
3,17:25:42.26,0.354,25,0.07,359.073,,,,
4,17:25:42.35,0.433,25,0.07,355.202,,,,
5,17:25:42.44,0.535,25,0.07,359.161,,,,
6,17:25:42.53,0.606,25,0.07,358.915,,,,
7,17:25:42.62,0.709,25,0.07,358.908,,,,
8,17:25:42.71,0.803,25,0.07,356.894,,,,
9,17:25:42.81,0.892,25,0.07,356.88,,,,
10,17:25:42.90,0.978,25,0.07,358.318,,,,
