idx,time,latency_sec,tokens,generation_time_sec,tok_per_sec,gpu_sm_avg_pct,gpu_dram_avg_pct,gpu_fb_used_avg_mib,gpu_power_avg_w
1,17:01:34.90,2.079,25,0.07,359.391,,,,
2,17:01:35.32,2.474,25,0.057,438.363,,,,
3,17:01:35.80,2.938,25,0.057,439.792,,,,
4,17:01:36.65,3.782,25,0.058,427.686,,,,
5,17:01:37.09,3.421,25,0.057,439.959,,,,
6,17:01:37.27,3.844,25,0.057,441.404,,,,
7,17:01:37.34,2.499,25,0.055,458.22,,,,
8,17:01:37.42,4.404,25,0.055,455.515,,,,
9,17:01:37.52,4.501,25,0.054,465.745,,,,
10,17:01:37.59,4.573,25,0.054,464.102,,,,
11,17:01:37.67,3.824,25,0.054,464.619,,,,
12,17:01:37.74,3.916,25,0.054,462.267,,,,
13,17:01:37.82,4.593,25,0.054,461.451,,,,
14,17:01:37.89,4.891,25,0.054,459.996,,,,
15,17:01:37.97,2.485,25,0.054,462.473,,,,
16,17:01:38.04,4.303,25,0.054,463.91,,,,
17,17:01:38.12,2.555,25,0.056,449.129,,,,
18,17:01:38.21,3.446,25,0.057,437.447,,,,
19,17:01:38.28,5.258,25,0.054,465.448,,,,
20,17:01:38.36,4.798,25,0.054,460.894,,,,
21,17:01:38.43,5.475,25,0.054,461.0,,,,
22,17:01:38.50,5.307,25,0.054,465.775,,,,
23,17:01:38.58,5.603,25,0.054,463.215,,,,
24,17:01:38.65,5.379,25,0.054,465.685,,,,
25,17:01:38.73,5.667,25,0.054,460.641,,,,
26,17:01:38.80,5.741,25,0.054,464.608,,,,
27,17:01:38.88,6.047,25,0.054,463.573,,,,
28,17:01:38.95,5.887,25,0.054,461.271,,,,
29,17:01:39.03,6.167,25,0.054,462.615,,,,
30,17:01:39.10,6.044,25,0.054,458.794,,,,
31,17:01:39.17,6.346,25,0.054,465.529,,,,
32,17:01:39.25,6.36,25,0.054,459.659,,,,
33,17:01:39.32,5.392,25,0.054,459.772,,,,
34,17:01:39.40,5.558,25,0.054,463.181,,,,
35,17:01:39.47,6.45,25,0.054,465.472,,,,
36,17:01:39.55,6.366,25,0.054,461.396,,,,
37,17:01:39.62,6.476,25,0.054,466.216,,,,
38,17:01:39.70,6.515,25,0.054,465.494,,,,
39,17:01:39.77,6.659,25,0.054,459.823,,,,
40,17:01:39.85,6.755,25,0.054,460.705,,,,
41,17:01:39.92,6.722,25,0.054,460.944,,,,
42,17:01:39.99,6.904,25,0.054,464.033,,,,
43,17:01:40.07,7.052,25,0.054,459.097,,,,
44,17:01:40.14,7.054,25,0.054,466.699,,,,
45,17:01:40.22,7.005,25,0.054,462.998,,,,
46,17:01:40.30,7.175,25,0.055,457.597,,,,
47,17:01:40.37,7.467,25,0.054,462.721,,,,
48,17:01:40.45,7.587,25,0.054,463.936,,,,
49,17:01:40.52,7.338,25,0.054,460.354,,,,
50,17:01:40.59,7.412,25,0.054,466.846,,,,
51,17:01:40.67,4.197,25,0.053,467.457,,,,
52,17:01:40.74,7.857,25,0.054,463.356,,,,
53,17:01:40.82,7.649,25,0.054,462.185,,,,
54,17:01:40.89,4.131,25,0.054,465.657,,,,
55,17:01:40.96,7.728,25,0.054,462.776,,,,
56,17:01:41.04,7.953,25,0.054,461.614,,,,
57,17:01:41.11,8.265,25,0.054,465.032,,,,
58,17:01:41.19,8.04,25,0.053,468.095,,,,
59,17:01:41.26,8.434,25,0.053,467.584,,,,
60,17:01:41.34,8.155,25,0.054,460.31,,,,
61,17:01:41.41,7.915,25,0.054,463.277,,,,
62,17:01:41.48,8.246,25,0.054,463.011,,,,
63,17:01:41.56,8.426,25,0.054,466.614,,,,
64,17:01:41.63,8.785,25,0.054,462.422,,,,
65,17:01:41.71,8.466,25,0.054,465.234,,,,
66,17:01:41.78,8.403,25,0.054,461.356,,,,
67,17:01:41.86,8.52,25,0.054,460.251,,,,
68,17:01:41.93,8.498,25,0.054,462.708,,,,
69,17:01:42.01,8.259,25,0.055,457.298,,,,
70,17:01:42.08,8.841,25,0.054,463.647,,,,
71,17:01:42.16,5.999,25,0.054,464.7,,,,
72,17:01:42.23,8.635,25,0.054,462.823,,,,
73,17:01:42.31,9.011,25,0.054,460.64,,,,
74,17:01:42.38,9.212,25,0.054,462.076,,,,
75,17:01:42.45,5.906,25,0.054,460.48,,,,
76,17:01:42.53,9.035,25,0.054,463.301,,,,
77,17:01:42.60,9.088,25,0.054,467.03,,,,
78,17:01:42.68,9.341,25,0.054,462.481,,,,
79,17:01:42.75,8.978,25,0.054,462.379,,,,
80,17:01:42.83,9.417,25,0.054,462.982,,,,
81,17:01:42.90,9.495,25,0.054,466.384,,,,
82,17:01:42.98,9.161,25,0.054,461.798,,,,
83,17:01:43.05,9.824,25,0.054,466.514,,,,
84,17:01:43.12,9.566,25,0.054,459.883,,,,
85,17:01:43.20,9.925,25,0.054,465.408,,,,
86,17:01:43.27,9.778,25,0.054,460.828,,,,
87,17:01:43.35,9.914,25,0.054,464.497,,,,
88,17:01:43.42,9.726,25,0.054,460.816,,,,
89,17:01:43.50,10.076,25,0.054,464.013,,,,
90,17:01:43.57,10.332,25,0.054,462.986,,,,
91,17:01:43.65,9.158,25,0.054,460.902,,,,
92,17:01:43.72,10.483,25,0.054,464.097,,,,
93,17:01:43.80,10.779,25,0.054,462.767,,,,
94,17:01:43.87,10.257,25,0.054,464.442,,,,
95,17:01:43.95,10.371,25,0.054,464.724,,,,
96,17:01:44.02,10.507,25,0.054,464.159,,,,
97,17:01:44.10,9.971,25,0.054,458.899,,,,
