idx,time,latency_sec,tokens,generation_time_sec,tok_per_sec,gpu_sm_avg_pct,gpu_dram_avg_pct,gpu_fb_used_avg_mib,gpu_power_avg_w
1,16:57:21.31,0.349,25,0.068,368.776,,,,
2,16:57:21.45,0.495,25,0.059,425.59,,,,
3,16:57:23.20,2.24,25,0.061,409.973,,,,
4,16:57:23.29,2.318,25,0.057,439.998,,,,
5,16:57:23.40,2.361,25,0.06,417.68,,,,
6,16:57:23.50,2.502,25,0.057,438.527,,,,
7,16:57:23.60,2.653,25,0.056,447.798,,,,
8,16:57:23.80,2.603,25,0.1,251.103,,,,
9,16:57:23.89,2.862,25,0.061,407.743,,,,
10,16:57:23.97,3.028,25,0.056,446.193,,,,
11,16:57:24.06,2.847,25,0.061,412.017,,,,
12,16:57:24.14,2.942,25,0.054,461.312,,,,
13,16:57:24.21,2.907,25,0.054,459.275,,,,
14,16:57:24.29,3.342,25,0.054,462.072,,,,
15,16:57:24.36,3.047,25,0.054,463.029,,,,
16,16:57:24.44,3.007,25,0.055,457.935,,,,
17,16:57:24.51,3.106,25,0.054,462.141,,,,
18,16:57:24.59,3.11,25,0.054,460.207,,,,
19,16:57:24.66,3.193,25,0.054,462.857,,,,
20,16:57:24.74,3.257,25,0.054,462.225,,,,
21,16:57:24.81,3.347,25,0.054,461.873,,,,
22,16:57:24.89,3.302,25,0.054,462.736,,,,
23,16:57:24.97,3.42,25,0.055,456.948,,,,
24,16:57:25.04,3.448,25,0.054,462.302,,,,
25,16:57:25.12,3.528,25,0.055,457.157,,,,
26,16:57:25.19,3.443,25,0.054,459.301,,,,
27,16:57:25.27,3.517,25,0.054,461.34,,,,
28,16:57:25.34,3.55,25,0.054,461.807,,,,
29,16:57:25.42,3.671,25,0.054,459.239,,,,
30,16:57:25.49,3.721,25,0.054,462.331,,,,
31,16:57:25.57,3.75,25,0.054,463.641,,,,
32,16:57:25.64,4.466,25,0.054,462.468,,,,
33,16:57:25.71,3.966,25,0.054,461.689,,,,
34,16:57:25.79,4.817,25,0.054,459.566,,,,
35,16:57:25.86,4.915,25,0.054,461.505,,,,
36,16:57:25.94,4.148,25,0.054,460.422,,,,
37,16:57:26.01,4.995,25,0.054,460.423,,,,
38,16:57:26.09,4.941,25,0.054,459.988,,,,
39,16:57:26.16,4.405,25,0.054,463.03,,,,
40,16:57:26.24,4.459,25,0.054,460.706,,,,
41,16:57:26.31,4.514,25,0.054,462.345,,,,
42,16:57:26.39,5.135,25,0.054,463.612,,,,
43,16:57:26.47,4.776,25,0.055,456.519,,,,
44,16:57:26.54,4.782,25,0.054,461.689,,,,
45,16:57:26.62,4.785,25,0.054,461.03,,,,
46,16:57:26.69,4.891,25,0.054,460.837,,,,
47,16:57:26.77,5.016,25,0.054,458.96,,,,
48,16:57:26.84,5.811,25,0.055,457.869,,,,
49,16:57:26.92,4.923,25,0.054,463.98,,,,
50,16:57:26.99,5.176,25,0.054,461.226,,,,
51,16:57:27.07,5.962,25,0.054,462.57,,,,
52,16:57:27.14,5.244,25,0.054,463.513,,,,
53,16:57:27.22,6.183,25,0.054,460.717,,,,
54,16:57:27.29,5.417,25,0.054,462.002,,,,
55,16:57:27.37,6.193,25,0.054,462.539,,,,
56,16:57:27.44,6.448,25,0.054,462.542,,,,
57,16:57:27.52,6.283,25,0.055,454.556,,,,
58,16:57:27.59,6.629,25,0.054,461.095,,,,
