idx,time,latency_sec,tokens,generation_time_sec,tok_per_sec
1,17:03:14.20,0.404,25,0.065,385.081
2,17:03:15.40,1.598,25,0.058,427.978
3,17:03:15.52,1.715,25,0.058,429.09
4,17:03:15.62,1.821,25,0.057,435.179
5,17:03:15.81,1.984,25,0.057,434.98
6,17:03:16.51,2.629,25,0.055,452.83
7,17:03:16.59,2.792,25,0.055,456.263
8,17:03:16.66,2.836,25,0.055,457.415
9,17:03:16.74,2.911,25,0.055,456.991
10,17:03:16.81,3.018,25,0.055,456.41
11,17:03:16.89,2.899,25,0.055,454.416
12,17:03:16.97,2.556,25,0.055,454.284
13,17:03:17.04,2.968,25,0.054,459.11
14,17:03:17.11,3.137,25,0.055,456.45
15,17:03:17.19,3.198,25,0.055,455.705
16,17:03:17.26,3.366,25,0.055,453.696
17,17:03:17.34,3.426,25,0.055,456.263
18,17:03:17.41,3.562,25,0.054,460.009
19,17:03:17.49,3.638,25,0.055,454.345
20,17:03:17.56,3.743,25,0.055,457.957
21,17:03:17.64,3.039,25,0.055,456.586
22,17:03:17.71,3.865,25,0.055,455.169
23,17:03:17.79,3.984,25,0.055,458.628
24,17:03:17.86,4.049,25,0.055,454.946
25,17:03:17.94,3.999,25,0.055,458.278
26,17:03:18.01,4.054,25,0.055,455.784
27,17:03:18.09,4.279,25,0.055,456.901
28,17:03:18.16,4.238,25,0.055,454.397
29,17:03:18.24,4.269,25,0.055,454.739
30,17:03:18.32,4.388,25,0.055,450.875
31,17:03:18.39,4.434,25,0.055,451.908
32,17:03:18.47,4.539,25,0.055,458.044
33,17:03:18.54,4.449,25,0.055,452.326
34,17:03:18.62,4.523,25,0.055,451.928
35,17:03:18.69,4.828,25,0.055,452.787
36,17:03:18.77,4.841,25,0.055,456.197
37,17:03:18.84,4.739,25,0.055,455.749
38,17:03:18.92,4.868,25,0.055,455.329
39,17:03:18.99,5.003,25,0.055,453.373
40,17:03:19.07,3.784,25,0.055,452.603
41,17:03:19.14,4.788,25,0.055,458.604
42,17:03:19.22,5.208,25,0.055,456.646
43,17:03:19.29,3.943,25,0.055,455.409
44,17:03:19.37,5.206,25,0.055,452.929
45,17:03:19.44,5.451,25,0.055,453.97
46,17:03:19.52,5.258,25,0.055,456.374
47,17:03:19.59,5.671,25,0.055,456.716
48,17:03:19.67,5.407,25,0.055,457.909
49,17:03:19.74,5.263,25,0.055,455.404
50,17:03:19.82,5.92,25,0.055,453.897
51,17:03:19.89,5.538,25,0.055,455.135
52,17:03:19.97,5.977,25,0.055,455.569
53,17:03:20.04,5.944,25,0.055,453.412
54,17:03:20.12,6.193,25,0.055,454.036
55,17:03:20.20,5.861,25,0.055,456.705
56,17:03:20.27,6.22,25,0.055,453.579
57,17:03:20.35,5.721,25,0.055,452.959
58,17:03:20.42,6.163,25,0.055,454.954
59,17:03:20.50,6.183,25,0.055,456.575
60,17:03:20.57,6.218,25,0.055,458.127
61,17:03:20.65,6.235,25,0.055,455.905
62,17:03:20.72,6.429,25,0.055,455.931
63,17:03:20.80,6.359,25,0.055,452.299
64,17:03:20.88,6.617,25,0.055,454.917
65,17:03:20.95,6.678,25,0.055,451.02
66,17:03:21.03,6.753,25,0.055,455.615
67,17:03:21.10,6.961,25,0.055,452.741
68,17:03:21.18,6.983,25,0.055,457.011
69,17:03:21.25,6.708,25,0.055,453.147
70,17:03:21.33,6.729,25,0.055,454.388
71,17:03:21.40,6.71,25,0.055,456.674
72,17:03:21.48,7.38,25,0.055,451.977
73,17:03:21.55,7.229,25,0.055,456.693
74,17:03:21.63,7.783,25,0.055,457.924
75,17:03:21.70,7.348,25,0.055,457.726
76,17:03:21.78,7.504,25,0.055,453.19
77,17:03:21.85,8.002,25,0.055,457.325
78,17:03:21.93,7.293,25,0.055,452.039
79,17:03:22.00,7.358,25,0.055,456.305
80,17:03:22.08,7.979,25,0.055,454.263
81,17:03:22.15,7.893,25,0.055,457.5
82,17:03:22.23,7.98,25,0.054,458.89
83,17:03:22.30,8.008,25,0.055,452.02
84,17:03:22.38,7.654,25,0.055,453.828
85,17:03:22.45,8.014,25,0.055,454.362
86,17:03:22.53,8.735,25,0.055,456.09
87,17:03:22.60,7.988,25,0.055,457.156
88,17:03:22.68,8.421,25,0.055,458.259
89,17:03:22.75,8.313,25,0.054,459.203
90,17:03:22.83,8.388,25,0.055,455.03
91,17:03:22.90,8.064,25,0.055,456.985
92,17:03:22.98,8.302,25,0.055,454.006
93,17:03:23.05,8.758,25,0.055,455.015
94,17:03:23.13,8.33,25,0.055,455.004
95,17:03:23.20,9.278,25,0.055,454.635
96,17:03:23.28,8.679,25,0.055,452.592
97,17:03:23.35,9.038,25,0.055,452.991
98,17:03:23.43,7.401,25,0.055,454.243
99,17:03:23.50,8.796,25,0.055,458.012
100,17:03:23.58,8.198,25,0.055,453.544
101,17:03:23.65,7.612,25,0.055,457.646
102,17:03:23.73,8.422,25,0.054,459.084
103,17:03:23.80,8.452,25,0.055,451.579
104,17:03:23.88,7.827,25,0.055,455.588
105,17:03:23.95,10.025,25,0.055,455.273
106,17:03:24.03,7.986,25,0.055,458.36
107,17:03:24.10,8.705,25,0.055,455.279
108,17:03:24.18,9.918,25,0.055,455.682
109,17:03:24.25,8.22,25,0.055,455.051
110,17:03:24.33,10.053,25,0.054,458.788
111,17:03:24.40,10.189,25,0.055,457.341
112,17:03:24.48,10.217,25,0.055,457.983
113,17:03:24.55,10.292,25,0.055,454.051
114,17:03:24.63,8.556,25,0.055,457.904
115,17:03:24.70,8.667,25,0.055,454.67
116,17:03:24.78,8.752,25,0.056,450.264
117,17:03:24.85,8.751,25,0.055,455.781
