idx,time,latency_sec,tokens,generation_time_sec,tok_per_sec
1,16:59:16.97,1.956,400,1.008,396.854
2,16:59:18.24,3.231,400,0.989,404.509
3,16:59:19.48,4.406,400,0.989,404.599
4,16:59:20.76,5.74,400,0.996,401.536
5,16:59:22.00,6.95,400,0.999,400.226
6,16:59:23.24,8.119,400,0.992,403.426
7,16:59:24.51,9.498,400,0.994,402.384
8,16:59:25.73,10.536,400,0.988,404.921
9,16:59:27.00,11.802,400,0.992,403.035
10,16:59:28.26,13.006,400,0.989,404.266
11,16:59:29.52,14.328,400,0.993,403.017
12,16:59:30.77,15.52,400,0.991,403.638
13,16:59:32.02,16.774,400,0.993,402.726
14,16:59:33.27,18.153,400,0.993,402.676
15,16:59:34.52,19.32,400,0.996,401.752
16,16:59:35.77,20.611,400,0.994,402.403
17,16:59:37.03,22.022,400,0.991,403.742
18,16:59:38.30,23.088,400,0.992,403.166
19,16:59:39.57,24.413,400,0.993,403.009
20,16:59:40.83,25.676,400,0.993,402.809
21,16:59:42.10,26.951,400,0.996,401.775
22,16:59:43.37,28.216,400,0.995,401.974
23,16:59:44.64,29.535,400,0.997,401.064
24,16:59:45.88,30.785,400,0.996,401.426
25,16:59:47.15,31.74,400,0.992,403.182
26,16:59:48.42,33.264,400,0.991,403.766
27,16:59:49.65,34.401,400,0.987,405.072
28,16:59:50.92,35.651,400,0.993,403.014
29,16:59:52.19,36.98,400,0.992,403.077
30,16:59:53.45,38.207,400,0.989,404.375
31,16:59:54.67,39.671,400,0.987,405.078
32,16:59:55.93,40.856,400,0.99,403.991
33,16:59:57.20,41.939,400,0.993,402.821
34,16:59:58.47,43.207,400,0.99,404.015
35,16:59:59.73,44.482,400,0.992,403.147
36,17:00:00.96,45.733,400,0.99,404.036
37,17:00:02.22,46.971,400,0.995,401.887
38,17:00:03.49,48.394,400,0.997,401.301
39,17:00:04.76,49.585,400,0.993,402.713
40,17:00:06.04,50.961,400,0.994,402.389
41,17:00:07.29,52.01,400,0.991,403.496
42,17:00:08.55,53.146,400,0.993,402.998
43,17:00:09.78,54.649,400,0.984,406.56
44,17:00:11.06,55.631,400,0.993,402.629
45,17:00:12.30,56.841,400,0.989,404.52
46,17:00:13.56,58.071,400,0.99,404.152
47,17:00:14.82,59.772,400,0.99,404.059
48,17:00:16.08,61.083,400,0.992,403.199
49,17:00:17.34,62.341,400,0.988,404.896
50,17:00:18.57,63.506,400,0.99,403.846
51,17:00:19.83,64.261,400,0.989,404.463
52,17:00:21.10,65.483,400,0.994,402.311
53,17:00:22.37,66.713,400,0.991,403.462
54,17:00:23.63,68.532,400,0.988,404.752
55,17:00:24.89,69.719,400,0.988,404.707
56,17:00:26.15,71.055,400,0.991,403.776
57,17:00:27.42,72.166,400,0.991,403.785
58,17:00:28.68,73.319,400,0.991,403.522
59,17:00:29.94,74.824,400,0.987,405.351
60,17:00:31.21,76.175,400,0.992,403.059
61,17:00:32.48,77.191,400,0.988,405.047
62,17:00:33.75,78.365,400,0.992,403.229
63,17:00:34.98,79.727,400,0.987,405.464
64,17:00:36.22,81.121,400,0.99,404.016
65,17:00:37.47,82.071,400,0.987,405.312
66,17:00:38.74,83.724,400,0.991,403.579
67,17:00:40.00,84.358,400,0.989,404.622
68,17:00:41.26,85.727,400,0.993,402.768
69,17:00:42.53,87.421,400,0.995,402.187
70,17:00:43.78,88.699,400,0.996,401.427
71,17:00:45.04,89.947,400,0.993,402.768
72,17:00:46.31,91.216,400,0.998,400.645
73,17:00:47.55,92.514,400,0.991,403.499
74,17:00:48.79,93.777,400,0.991,403.722
75,17:00:50.04,94.802,400,0.99,404.077
76,17:00:51.27,95.961,400,0.996,401.506
77,17:00:52.54,97.447,400,0.99,403.86
78,17:00:53.80,98.65,400,0.993,402.635
79,17:00:55.05,99.759,400,0.991,403.627
80,17:00:56.28,101.182,400,0.992,403.14
81,17:00:57.55,102.187,400,0.994,402.369
82,17:00:58.82,103.531,400,0.991,403.741
83,17:01:00.06,104.325,400,0.993,402.694
84,17:01:01.33,105.83,400,0.995,402.079
85,17:01:02.58,106.843,400,0.993,402.807
86,17:01:03.85,108.829,400,0.995,401.954
87,17:01:05.09,109.993,400,0.99,404.078
88,17:01:06.36,111.352,400,0.995,401.937
89,17:01:07.62,112.006,400,0.991,403.665
90,17:01:08.84,113.664,400,0.99,404.124
91,17:01:10.11,115.061,400,0.99,404.231
92,17:01:11.37,115.622,400,0.995,401.912
93,17:01:12.64,116.938,400,0.989,404.568
94,17:01:13.90,118.809,400,0.99,404.226
95,17:01:15.15,120.062,400,0.989,404.551
96,17:01:16.41,121.255,400,0.993,402.788
97,17:01:17.63,121.896,400,0.989,404.505
98,17:01:18.90,123.074,400,0.99,403.982
99,17:01:20.16,125.064,400,0.988,404.655
100,17:01:21.45,126.403,400,0.997,401.188
