idx,time,latency_sec,tokens,generation_time_sec,tok_per_sec
1,17:49:42.06,0.332,25,0.085,293.222
2,17:49:42.14,0.408,25,0.219,113.948
3,17:49:42.30,0.558,25,0.161,155.728
4,17:49:42.33,0.606,25,0.259,96.576
5,17:49:42.36,0.599,25,0.151,165.435
6,17:49:42.54,0.763,25,0.237,105.545
7,17:49:42.73,0.918,25,0.224,111.792
8,17:49:42.84,1.101,25,0.203,123.057
9,17:49:43.01,1.202,25,0.098,255.951
10,17:49:43.27,1.527,25,0.351,71.208
11,17:49:43.32,1.557,25,0.5,50.002
12,17:49:43.42,1.643,25,0.326,76.632
13,17:49:43.65,1.857,25,0.314,79.592
14,17:49:43.57,1.855,25,0.457,54.731
15,17:49:43.85,2.085,25,0.209,119.814
16,17:49:43.88,2.089,25,0.313,79.818
17,17:49:43.88,2.034,25,0.237,105.264
18,17:49:44.33,2.402,25,0.29,86.101
19,17:49:44.41,2.598,25,0.234,107.029
20,17:49:44.52,2.336,25,0.069,363.133
21,17:49:44.54,2.798,25,0.278,90.034
22,17:49:44.66,2.787,25,0.475,52.638
23,17:49:44.42,2.523,25,0.277,90.229
24,17:49:44.78,2.559,25,0.428,58.471
25,17:49:45.18,2.345,25,0.268,93.129
26,17:49:45.19,3.029,25,0.294,84.976
27,17:49:45.19,3.442,25,0.271,92.13
28,17:49:45.40,3.501,25,0.435,57.451
29,17:49:45.43,3.565,25,0.191,130.644
30,17:49:45.49,3.759,25,0.514,48.63
31,17:49:45.49,3.229,25,0.224,111.791
32,17:49:45.52,2.974,25,0.507,49.349
33,17:49:45.64,3.627,25,0.351,71.156
34,17:49:45.71,3.639,25,0.246,101.56
35,17:49:45.87,3.77,25,0.35,71.378
36,17:49:45.90,3.898,25,0.366,68.338
37,17:49:46.00,3.92,25,0.441,56.635
38,17:49:46.04,3.972,25,0.423,59.133
39,17:49:46.16,4.056,25,0.431,57.954
40,17:49:46.18,3.582,25,0.432,57.931
41,17:49:46.34,4.151,25,0.432,57.911
42,17:49:46.37,4.41,25,0.432,57.862
43,17:49:46.47,4.572,25,0.431,57.957
44,17:49:46.50,4.441,25,0.431,58.021
45,17:49:46.63,4.773,25,0.432,57.873
46,17:49:46.65,3.661,25,0.433,57.714
47,17:49:46.81,4.868,25,0.432,57.877
48,17:49:46.84,5.022,25,0.431,58.053
49,17:49:46.94,4.968,25,0.432,57.934
50,17:49:46.97,4.434,25,0.431,57.99
51,17:49:47.10,4.834,25,0.431,57.99
52,17:49:47.11,5.19,25,0.43,58.106
53,17:49:47.28,5.432,25,0.43,58.104
54,17:49:47.31,4.504,25,0.43,58.113
55,17:49:47.41,5.392,25,0.431,57.952
56,17:49:47.44,5.477,25,0.432,57.869
57,17:49:47.57,5.611,25,0.432,57.917
58,17:49:47.58,5.421,25,0.431,57.993
59,17:49:47.75,5.966,25,0.428,58.36
60,17:49:47.78,4.694,25,0.432,57.912
61,17:49:47.87,5.989,25,0.428,58.46
62,17:49:47.92,5.982,25,0.435,57.408
63,17:49:48.04,5.665,25,0.432,57.869
64,17:49:48.05,5.177,25,0.43,58.082
65,17:49:48.21,6.139,25,0.431,57.943
66,17:49:48.25,6.297,25,0.433,57.796
67,17:49:48.34,6.143,25,0.432,57.934
68,17:49:48.39,6.248,25,0.431,58.008
69,17:49:48.51,6.706,25,0.432,57.835
70,17:49:48.52,5.646,25,0.431,58.054
71,17:49:48.68,6.533,25,0.43,58.101
72,17:49:48.72,5.976,25,0.431,58.038
73,17:49:48.81,6.536,25,0.43,58.078
74,17:49:48.86,7.016,25,0.432,57.815
75,17:49:48.97,6.947,25,0.431,58.006
76,17:49:48.99,6.962,25,0.431,58.056
77,17:49:49.15,7.232,25,0.432,57.895
78,17:49:49.18,6.917,25,0.43,58.191
79,17:49:49.28,7.28,25,0.431,58.037
80,17:49:49.32,7.393,25,0.429,58.224
81,17:49:49.44,7.122,25,0.431,57.979
82,17:49:49.46,6.437,25,0.43,58.127
83,17:49:49.62,7.383,25,0.43,58.123
84,17:49:49.65,6.961,25,0.43,58.135
85,17:49:49.75,7.822,25,0.432,57.885
86,17:49:49.79,7.681,25,0.429,58.234
87,17:49:49.91,7.738,25,0.431,58.01
88,17:49:49.93,8.154,25,0.432,57.871
89,17:49:50.09,7.929,25,0.43,58.174
90,17:49:50.13,8.276,25,0.434,57.552
91,17:49:50.21,8.207,25,0.416,60.076
92,17:49:50.29,7.724,25,0.46,54.399
93,17:49:50.38,7.814,25,0.424,58.953
94,17:49:50.39,8.247,25,0.42,59.535
95,17:49:50.55,8.69,25,0.42,59.57
96,17:49:50.60,8.388,25,0.433,57.778
97,17:49:50.67,8.276,25,0.429,58.21
98,17:49:50.76,8.777,25,0.43,58.121
99,17:49:50.85,7.619,25,0.431,58.021
100,17:49:50.86,9.015,25,0.431,58.031
101,17:49:51.02,8.437,25,0.431,57.952
102,17:49:51.07,9.049,25,0.431,58.018
103,17:49:51.14,8.856,25,0.431,58.003
104,17:49:51.23,9.128,25,0.43,58.193
105,17:49:51.32,9.151,25,0.431,58.052
106,17:49:51.33,8.938,25,0.429,58.274
107,17:49:51.49,9.392,25,0.431,58.028
108,17:49:51.54,8.781,25,0.43,58.077
109,17:49:51.61,9.563,25,0.431,58.027
110,17:49:51.70,9.337,25,0.429,58.22
111,17:49:51.78,8.963,25,0.43,58.095
112,17:49:51.79,9.983,25,0.431,57.961
113,17:49:51.96,9.671,25,0.431,58.035
114,17:49:52.00,9.901,25,0.429,58.225
115,17:49:52.08,9.664,25,0.43,58.079
116,17:49:52.17,10.148,25,0.431,57.974
117,17:49:52.25,10.277,25,0.43,58.131
118,17:49:52.26,9.611,25,0.431,57.966
119,17:49:52.43,10.383,25,0.431,57.975
120,17:49:52.47,9.249,25,0.43,58.117
121,17:49:52.55,9.972,25,0.43,58.1
122,17:49:52.64,10.35,25,0.432,57.889
123,17:49:52.72,10.457,25,0.431,58.007
124,17:49:52.73,10.845,25,0.43,58.175
125,17:49:52.89,10.621,25,0.432,57.853
126,17:49:52.94,11.079,25,0.433,57.717
127,17:49:53.02,10.569,25,0.429,58.287
128,17:49:53.10,9.777,25,0.43,58.202
129,17:49:53.19,10.483,25,0.431,58.04
130,17:49:53.20,10.963,25,0.431,57.951
131,17:49:53.36,11.563,25,0.431,58.027
132,17:49:53.41,10.267,25,0.429,58.237
133,17:49:53.49,10.653,25,0.431,57.967
134,17:49:53.57,11.163,25,0.431,57.988
135,17:49:53.66,11.812,25,0.431,57.981
136,17:49:53.67,11.688,25,0.43,58.126
137,17:49:53.83,11.926,25,0.431,57.994
138,17:49:53.88,11.462,25,0.433,57.787
139,17:49:53.96,11.487,25,0.431,57.962
140,17:49:54.04,11.777,25,0.431,57.957
141,17:49:54.13,12.248,25,0.43,58.094
142,17:49:54.14,11.966,25,0.432,57.909
143,17:49:54.30,11.671,25,0.433,57.797
144,17:49:54.35,11.163,25,0.43,58.119
145,17:49:54.43,11.879,25,0.43,58.116
146,17:49:54.51,11.133,25,0.43,58.183
147,17:49:54.60,12.215,25,0.432,57.849
148,17:49:54.61,12.086,25,0.432,57.884
149,17:49:54.77,12.88,25,0.432,57.871
150,17:49:54.82,12.315,25,0.431,58.037
151,17:49:54.89,12.298,25,0.431,58.06
152,17:49:54.98,12.813,25,0.431,57.967
153,17:49:55.06,13.161,25,0.429,58.312
154,17:49:55.08,12.379,25,0.43,58.156
155,17:49:55.24,13.102,25,0.428,58.381
156,17:49:55.28,13.333,25,0.43,58.198
157,17:49:55.36,13.28,25,0.427,58.602
158,17:49:55.45,12.93,25,0.431,58.042
159,17:49:55.53,13.533,25,0.432,57.841
160,17:49:55.54,13.713,25,0.43,58.098
161,17:49:55.71,12.874,25,0.435,57.522
162,17:49:55.76,13.493,25,0.437,57.197
163,17:49:55.84,12.655,25,0.435,57.434
164,17:49:55.93,13.549,25,0.449,55.682
165,17:49:56.01,14.061,25,0.434,57.569
166,17:49:56.03,13.836,25,0.448,55.822
167,17:49:56.19,14.04,25,0.432,57.899
168,17:49:56.23,13.402,25,0.427,58.541
169,17:49:56.30,14.254,25,0.43,58.186
170,17:49:56.40,13.068,25,0.431,57.977
171,17:49:56.48,13.496,25,0.436,57.32
172,17:49:56.51,13.841,25,0.436,57.358
173,17:49:56.67,14.092,25,0.444,56.353
174,17:49:56.70,14.054,25,0.433,57.746
175,17:49:56.78,13.951,25,0.434,57.568
176,17:49:56.88,14.818,25,0.437,57.227
177,17:49:56.95,14.799,25,0.433,57.722
178,17:49:56.99,14.968,25,0.444,56.302
179,17:49:57.13,15.013,25,0.431,58.016
180,17:49:57.17,15.071,25,0.432,57.916
181,17:49:57.24,14.23,25,0.431,58.045
182,17:49:57.35,14.171,25,0.432,57.878
183,17:49:57.42,15.248,25,0.431,58.018
184,17:49:57.46,14.802,25,0.429,58.343
185,17:49:57.60,15.731,25,0.432,57.826
186,17:49:57.63,14.545,25,0.431,58.042
187,17:49:57.71,14.698,25,0.432,57.923
188,17:49:57.82,14.682,25,0.431,57.993
189,17:49:57.89,15.162,25,0.432,57.809
190,17:49:57.92,15.042,25,0.429,58.246
191,17:49:58.08,15.993,25,0.435,57.486
192,17:49:58.10,15.29,25,0.431,58.026
193,17:49:58.18,15.584,25,0.431,57.979
194,17:49:58.29,15.114,25,0.433,57.74
195,17:49:58.36,15.01,25,0.428,58.426
196,17:49:58.39,15.688,25,0.431,57.983
197,17:49:58.55,16.301,25,0.431,57.989
198,17:49:58.57,16.153,25,0.431,57.938
199,17:49:58.65,16.153,25,0.433,57.78
200,17:49:58.76,15.643,25,0.431,58.015
201,17:49:58.82,16.064,25,0.432,57.918
202,17:49:58.85,16.432,25,0.425,58.862
203,17:49:59.02,16.764,25,0.433,57.78
204,17:49:59.05,16.866,25,0.433,57.741
205,17:49:59.12,16.395,25,0.432,57.914
206,17:49:59.23,17.278,25,0.432,57.921
207,17:49:59.29,16.551,25,0.432,57.934
208,17:49:59.32,17.089,25,0.432,57.917
209,17:49:59.49,16.762,25,0.431,57.965
210,17:49:59.51,16.677,25,0.431,58.059
211,17:49:59.59,17.099,25,0.431,58.001
212,17:49:59.70,16.174,25,0.43,58.097
213,17:49:59.76,17.106,25,0.43,58.097
214,17:49:59.79,17.556,25,0.429,58.218
215,17:49:59.95,17.838,25,0.432,57.821
216,17:49:59.98,17.268,25,0.431,58.068
217,17:50:00.06,17.772,25,0.431,57.94
218,17:50:00.16,16.721,25,0.43,58.091
219,17:50:00.23,17.315,25,0.432,57.865
220,17:50:00.26,17.885,25,0.433,57.795
221,17:50:00.42,17.643,25,0.43,58.085
222,17:50:00.45,18.446,25,0.43,58.195
223,17:50:00.53,18.134,25,0.43,58.152
224,17:50:00.63,18.747,25,0.431,58.009
225,17:50:00.70,18.06,25,0.43,58.138
226,17:50:00.73,17.668,25,0.43,58.084
227,17:50:00.90,18.12,25,0.436,57.366
228,17:50:00.92,17.784,25,0.431,58.051
229,17:50:01.00,18.503,25,0.428,58.344
230,17:50:01.10,18.621,25,0.423,59.112
231,17:50:01.17,19.141,25,0.432,57.812
232,17:50:01.20,19.046,25,0.433,57.779
233,17:50:01.37,18.783,25,0.431,58.039
234,17:50:01.38,18.511,25,0.424,58.957
235,17:50:01.47,18.603,25,0.43,58.144
236,17:50:01.56,18.431,25,0.431,58.062
237,17:50:01.64,19.547,25,0.431,58.047
238,17:50:01.67,19.651,25,0.433,57.785
239,17:50:01.84,19.644,25,0.433,57.788
240,17:50:01.85,19.912,25,0.432,57.839
241,17:50:01.94,18.958,25,0.43,58.205
242,17:50:02.03,18.886,25,0.43,58.095
243,17:50:02.11,19.22,25,0.431,58.027
244,17:50:02.14,19.905,25,0.432,57.889
245,17:50:02.30,19.23,25,0.43,58.117
246,17:50:02.32,20.054,25,0.43,58.134
247,17:50:02.40,20.078,25,0.43,58.172
248,17:50:02.50,20.261,25,0.431,58.016
249,17:50:02.58,19.709,25,0.431,58.045
250,17:50:02.61,20.108,25,0.429,58.254
251,17:50:02.77,20.401,25,0.431,57.975
252,17:50:02.79,19.609,25,0.431,58.047
253,17:50:02.87,20.276,25,0.431,58.061
254,17:50:02.97,19.768,25,0.43,58.172
255,17:50:03.05,20.092,25,0.431,58.065
256,17:50:03.08,20.035,25,0.431,58.064
257,17:50:03.24,20.911,25,0.43,58.094
258,17:50:03.26,20.598,25,0.431,57.941
259,17:50:03.34,20.433,25,0.431,58.03
260,17:50:03.44,20.05,25,0.432,57.926
261,17:50:03.52,20.986,25,0.43,58.084
262,17:50:03.54,21.058,25,0.431,57.97
263,17:50:03.71,20.614,25,0.432,57.872
264,17:50:03.72,21.259,25,0.427,58.575
265,17:50:03.81,21.269,25,0.431,57.995
266,17:50:03.91,21.622,25,0.432,57.848
267,17:50:03.99,21.605,25,0.433,57.778
268,17:50:04.01,21.334,25,0.43,58.11
269,17:50:04.18,21.641,25,0.43,58.169
270,17:50:04.19,21.13,25,0.432,57.864
271,17:50:04.28,21.266,25,0.434,57.655
272,17:50:04.37,22.236,25,0.431,58.02
273,17:50:04.46,21.919,25,0.432,57.921
274,17:50:04.48,21.741,25,0.431,57.974
275,17:50:04.65,21.92,25,0.431,58.014
276,17:50:04.66,22.036,25,0.432,57.935
277,17:50:04.75,21.969,25,0.431,57.974
278,17:50:04.84,22.332,25,0.431,58.068
279,17:50:04.93,21.549,25,0.43,58.172
280,17:50:04.95,22.897,25,0.432,57.839
281,17:50:05.12,22.655,25,0.433,57.796
282,17:50:05.13,22.232,25,0.431,58.04
283,17:50:05.21,22.704,25,0.428,58.343
284,17:50:05.31,23.33,25,0.43,58.116
285,17:50:05.39,23.189,25,0.431,58.008
286,17:50:05.42,23.371,25,0.435,57.468
287,17:50:05.58,23.154,25,0.431,57.941
288,17:50:05.60,23.119,25,0.431,58.015
289,17:50:05.68,23.082,25,0.432,57.9
290,17:50:05.78,22.42,25,0.431,58.066
291,17:50:05.86,23.374,25,0.431,58.04
292,17:50:05.89,23.42,25,0.432,57.904
293,17:50:06.05,23.934,25,0.431,58.043
294,17:50:06.07,23.382,25,0.431,57.959
295,17:50:06.15,22.849,25,0.43,58.104
296,17:50:06.25,23.891,25,0.433,57.757
297,17:50:06.33,24.066,25,0.431,57.951
298,17:50:06.36,23.841,25,0.429,58.252
299,17:50:06.52,23.939,25,0.432,57.937
300,17:50:06.53,23.49,25,0.432,57.83
301,17:50:06.62,23.716,25,0.428,58.466
302,17:50:06.72,24.259,25,0.431,58.05
303,17:50:06.80,23.997,25,0.434,57.568
304,17:50:06.83,23.98,25,0.431,58.008
305,17:50:07.00,23.7,25,0.431,57.952
306,17:50:07.00,25.15,25,0.432,57.876
307,17:50:07.08,24.609,25,0.427,58.494
308,17:50:07.19,23.796,25,0.433,57.79
309,17:50:07.27,23.93,25,0.431,58.059
310,17:50:07.30,24.4,25,0.43,58.166
311,17:50:07.46,24.607,25,0.43,58.153
312,17:50:07.47,25.516,25,0.433,57.7
313,17:50:07.55,24.263,25,0.432,57.912
314,17:50:07.65,25.319,25,0.43,58.18
315,17:50:07.74,24.396,25,0.431,58.062
316,17:50:07.77,25.26,25,0.432,57.846
317,17:50:07.93,24.862,25,0.432,57.86
318,17:50:07.94,25.038,25,0.43,58.124
319,17:50:08.02,25.307,25,0.431,58.025
320,17:50:08.12,24.967,25,0.431,57.949
321,17:50:08.21,24.816,25,0.432,57.911
322,17:50:08.24,25.782,25,0.43,58.127
323,17:50:08.40,25.918,25,0.431,57.941
324,17:50:08.41,25.37,25,0.432,57.904
325,17:50:08.49,25.474,25,0.433,57.791
326,17:50:08.59,26.681,25,0.432,57.927
327,17:50:08.68,26.157,25,0.431,57.958
328,17:50:08.71,25.597,25,0.432,57.927
329,17:50:08.87,25.775,25,0.431,57.962
330,17:50:08.88,25.555,25,0.431,58.045
331,17:50:08.96,26.29,25,0.432,57.878
332,17:50:09.06,25.602,25,0.429,58.271
333,17:50:09.15,26.491,25,0.432,57.835
334,17:50:09.18,26.178,25,0.431,58.052
335,17:50:09.34,27.149,25,0.431,58.046
336,17:50:09.35,27.354,25,0.431,57.978
337,17:50:09.43,26.737,25,0.431,58.031
338,17:50:09.53,26.118,25,0.434,57.616
339,17:50:09.62,26.754,25,0.429,58.216
340,17:50:09.64,26.545,25,0.431,58.054
341,17:50:09.81,26.83,25,0.433,57.751
342,17:50:09.82,26.773,25,0.432,57.847
343,17:50:09.89,26.88,25,0.431,58.064
344,17:50:10.00,27.462,25,0.431,57.982
345,17:50:10.09,27.074,25,0.432,57.919
346,17:50:10.11,28.019,25,0.433,57.776
347,17:50:10.28,28.096,25,0.43,58.118
348,17:50:10.29,27.882,25,0.429,58.319
349,17:50:10.36,27.407,25,0.431,58.049
350,17:50:10.45,27.332,25,0.415,60.256
351,17:50:10.52,27.161,25,0.4,62.514
352,17:50:10.55,28.312,25,0.394,63.42
353,17:50:10.66,28.137,25,0.342,73.034
354,17:50:10.66,27.918,25,0.341,73.353
355,17:50:10.78,28.571,25,0.301,83.108
356,17:50:10.84,28.058,25,0.285,87.629
357,17:50:10.97,28.161,25,0.283,88.231
358,17:50:10.98,28.128,25,0.283,88.488
359,17:50:11.10,29.197,25,0.282,88.685
360,17:50:11.15,27.769,25,0.283,88.453
361,17:50:11.28,28.607,25,0.283,88.289
362,17:50:11.29,29.133,25,0.283,88.25
363,17:50:11.41,28.878,25,0.283,88.482
364,17:50:11.46,27.873,25,0.282,88.61
365,17:50:11.59,29.457,25,0.283,88.361
366,17:50:11.60,29.56,25,0.283,88.495
367,17:50:11.72,29.16,25,0.283,88.461
368,17:50:11.78,28.975,25,0.282,88.663
369,17:50:11.87,29.326,25,0.252,99.261
370,17:50:11.88,29.685,25,0.25,100.038
371,17:50:11.97,28.497,25,0.22,113.806
372,17:50:12.11,29.5,25,0.208,120.004
373,17:50:12.11,30.073,25,0.208,120.456
374,17:50:12.20,29.059,25,0.208,120.164
375,17:50:12.34,29.987,25,0.208,120.427
376,17:50:12.35,29.493,25,0.208,120.152
377,17:50:12.44,29.245,25,0.207,120.735
378,17:50:12.58,29.5,25,0.208,120.462
379,17:50:12.58,29.939,25,0.208,120.372
380,17:50:12.67,29.463,25,0.207,120.505
381,17:50:12.81,30.019,25,0.208,120.335
382,17:50:12.82,30.379,25,0.208,120.165
383,17:50:12.91,29.494,25,0.207,120.639
384,17:50:13.04,29.97,25,0.207,120.533
385,17:50:13.05,29.992,25,0.207,120.684
386,17:50:13.14,29.738,25,0.208,120.252
387,17:50:13.28,30.581,25,0.208,120.263
388,17:50:13.28,30.49,25,0.207,120.924
389,17:50:13.37,30.232,25,0.207,120.536
390,17:50:13.44,30.879,25,0.142,176.104
391,17:50:13.45,30.544,25,0.137,182.386
392,17:50:13.56,31.109,25,0.096,261.266
393,17:50:13.56,31.491,25,0.095,262.069
394,17:50:13.68,30.601,25,0.096,261.62
395,17:50:13.68,31.275,25,0.096,261.721
396,17:50:13.75,30.518,25,0.054,465.891
397,17:50:13.83,31.094,25,0.053,467.679
398,17:50:13.90,30.768,25,0.054,462.481
399,17:50:13.97,31.073,25,0.054,467.018
400,17:50:14.05,31.089,25,0.054,463.527
