idx,time,latency_sec,tokens,generation_time_sec,tok_per_sec
1,17:40:49.12,0.557,50,0.238,210.414
2,17:40:49.76,1.198,50,0.482,103.741
3,17:40:49.59,0.99,50,0.229,218.353
4,17:40:50.14,1.569,50,0.393,127.128
5,17:40:50.37,1.806,50,0.459,108.886
6,17:40:50.84,2.229,50,0.526,95.141
7,17:40:50.93,2.327,50,0.999,50.069
8,17:40:51.06,2.475,50,0.508,98.33
9,17:40:51.25,2.651,50,1.006,49.701
10,17:40:51.26,2.531,50,0.675,74.077
11,17:40:51.91,3.296,50,0.386,129.642
12,17:40:52.13,3.492,50,0.873,57.295
13,17:40:52.20,3.545,50,0.375,133.318
14,17:40:52.31,3.396,50,0.83,60.258
15,17:40:52.40,3.827,50,1.527,32.737
16,17:40:52.46,3.86,50,1.742,28.695
17,17:40:52.73,3.484,50,1.015,49.263
18,17:40:52.85,4.271,50,0.636,78.641
19,17:40:53.17,4.561,50,1.054,47.428
20,17:40:53.22,4.505,50,0.876,57.091
21,17:40:53.59,4.828,50,1.074,46.56
22,17:40:53.60,4.915,50,1.12,44.63
23,17:40:53.60,4.854,50,1.073,46.611
24,17:40:53.90,5.094,50,1.079,46.325
25,17:40:54.00,5.422,50,1.076,46.476
26,17:40:54.31,5.626,50,1.07,46.723
27,17:40:54.36,5.541,50,1.079,46.345
28,17:40:54.72,6.127,50,1.053,47.5
29,17:40:54.75,6.114,50,1.09,45.852
30,17:40:54.79,5.841,50,1.114,44.864
31,17:40:55.04,6.468,50,1.073,46.598
32,17:40:55.14,5.96,50,1.073,46.59
33,17:40:55.46,6.759,50,1.07,46.732
34,17:40:55.52,6.689,50,1.087,45.995
35,17:40:55.85,7.085,50,1.064,46.995
36,17:40:55.93,7.057,50,1.112,44.97
37,17:40:55.96,7.166,50,1.106,45.195
38,17:40:56.17,7.521,50,1.061,47.117
39,17:40:56.29,7.713,50,1.072,46.638
40,17:40:56.64,8.048,50,1.112,44.95
41,17:40:56.69,7.954,50,1.102,45.36
42,17:40:56.96,7.98,50,1.044,47.896
43,17:40:57.11,8.494,50,1.112,44.945
44,17:40:57.16,8.477,50,1.125,44.444
45,17:40:57.31,8.718,50,1.071,46.667
46,17:40:57.44,8.583,50,1.082,46.207
47,17:40:57.79,9.041,50,1.079,46.326
48,17:40:57.87,8.837,50,1.105,45.252
49,17:40:58.08,9.468,50,1.051,47.58
50,17:40:58.28,9.708,50,1.099,45.513
51,17:40:58.34,9.666,50,1.103,45.337
52,17:40:58.46,9.733,50,1.079,46.345
53,17:40:58.58,9.96,50,1.061,47.143
54,17:40:58.97,10.336,50,1.109,45.08
55,17:40:59.05,9.867,50,1.117,44.767
56,17:40:59.20,10.281,50,1.047,47.75
57,17:40:59.43,10.648,50,1.079,46.324
58,17:40:59.48,10.763,50,1.078,46.399
59,17:40:59.60,10.446,50,1.069,46.767
60,17:40:59.70,10.779,50,1.064,47.009
61,17:41:00.15,11.457,50,1.116,44.821
62,17:41:00.23,10.986,50,1.107,45.184
63,17:41:00.30,11.057,50,1.038,48.155
64,17:41:00.61,11.778,50,1.109,45.093
65,17:41:00.66,11.1,50,1.113,44.923
66,17:41:00.74,11.378,50,1.077,46.426
67,17:41:00.84,11.689,50,1.061,47.107
68,17:41:01.32,12.393,50,1.098,45.534
69,17:41:01.42,12.155,50,1.123,44.538
70,17:41:01.43,12.168,50,1.066,46.896
71,17:41:01.77,12.803,50,1.088,45.968
72,17:41:01.87,12.354,50,1.127,44.374
73,17:41:01.88,12.855,50,1.075,46.527
74,17:41:01.95,12.872,50,1.045,47.836
75,17:41:02.46,13.623,50,1.064,46.976
76,17:41:02.57,13.305,50,1.07,46.736
77,17:41:02.59,13.803,50,1.099,45.485
78,17:41:02.96,13.812,50,1.122,44.557
79,17:41:03.03,14.297,50,1.081,46.261
80,17:41:03.06,14.294,50,1.121,44.617
81,17:41:03.09,13.942,50,1.065,46.945
82,17:41:03.61,14.673,50,1.087,45.995
83,17:41:03.70,14.701,50,1.066,46.921
84,17:41:03.79,14.523,50,1.123,44.511
85,17:41:04.12,14.572,50,1.084,46.112
86,17:41:04.15,15.082,50,1.054,47.456
87,17:41:04.21,14.968,50,1.061,47.136
88,17:41:04.26,15.534,50,1.131,44.202
89,17:41:04.76,16.017,50,1.071,46.68
90,17:41:04.82,15.904,50,1.048,47.7
91,17:41:04.98,15.222,50,1.111,44.992
92,17:41:05.28,16.179,50,1.061,47.125
93,17:41:05.29,16.26,50,1.106,45.225
94,17:41:05.36,16.411,50,1.084,46.12
95,17:41:05.47,16.785,50,1.135,44.07
96,17:41:05.91,16.785,50,1.076,46.463
97,17:41:05.94,17.263,50,1.045,47.858
98,17:41:06.13,16.556,50,1.079,46.336
99,17:41:06.40,17.075,50,1.056,47.359
100,17:41:06.48,17.628,50,1.124,44.484
101,17:41:06.49,17.756,50,1.064,47.014
102,17:41:06.67,17.832,50,1.133,44.115
103,17:41:07.06,18.317,50,1.054,47.423
104,17:41:07.06,18.132,50,1.081,46.269
105,17:41:07.27,18.537,50,1.078,46.372
106,17:41:07.54,18.905,50,1.073,46.595
107,17:41:07.61,18.864,50,1.059,47.222
108,17:41:07.64,18.622,50,1.082,46.199
109,17:41:07.87,18.68,50,1.127,44.368
110,17:41:08.19,19.035,50,1.066,46.904
111,17:41:08.19,19.242,50,1.066,46.918
112,17:41:08.46,19.764,50,1.111,45.016
113,17:41:08.68,19.7,50,1.067,46.862
114,17:41:08.75,19.736,50,1.071,46.683
115,17:41:08.82,19.359,50,1.105,45.253
116,17:41:09.05,20.395,50,1.115,44.863
117,17:41:09.31,20.586,50,1.051,47.592
118,17:41:09.33,20.287,50,1.077,46.409
119,17:41:09.61,19.949,50,1.086,46.048
120,17:41:09.81,20.434,50,1.07,46.745
121,17:41:09.90,20.448,50,1.08,46.293
122,17:41:09.99,21.033,50,1.099,45.485
123,17:41:10.27,20.75,50,1.146,43.637
124,17:41:10.43,20.693,50,1.054,47.458
125,17:41:10.50,21.594,50,1.097,45.572
126,17:41:10.76,22.065,50,1.079,46.349
127,17:41:10.95,21.395,50,1.059,47.219
128,17:41:11.04,22.331,50,1.082,46.198
129,17:41:11.15,22.184,50,1.099,45.499
130,17:41:11.46,22.423,50,1.125,44.456
131,17:41:11.54,22.621,50,1.042,47.989
132,17:41:11.67,23.034,50,1.108,45.108
133,17:41:11.94,23.1,50,1.117,44.776
134,17:41:12.09,23.435,50,1.066,46.912
135,17:41:12.19,23.318,50,1.077,46.43
136,17:41:12.33,23.694,50,1.11,45.045
137,17:41:12.65,23.031,50,1.114,44.893
138,17:41:12.66,23.587,50,1.056,47.328
139,17:41:12.83,23.715,50,1.089,45.893
140,17:41:13.11,23.716,50,1.107,45.186
141,17:41:13.21,23.494,50,1.061,47.114
142,17:41:13.33,23.989,50,1.078,46.372
143,17:41:13.51,23.8,50,1.11,45.062
144,17:41:13.80,24.625,50,1.068,46.801
145,17:41:13.84,24.427,50,1.123,44.521
146,17:41:13.99,25.081,50,1.093,45.758
147,17:41:14.27,24.999,50,1.084,46.128
148,17:41:14.35,25.094,50,1.071,46.676
149,17:41:14.46,25.511,50,1.055,47.402
150,17:41:14.69,25.737,50,1.103,45.331
151,17:41:14.93,25.422,50,1.064,46.994
152,17:41:15.04,25.605,50,1.122,44.549
153,17:41:15.16,26.337,50,1.104,45.293
154,17:41:15.41,26.571,50,1.073,46.598
155,17:41:15.51,26.217,50,1.084,46.125
156,17:41:15.59,25.889,50,1.066,46.914
157,17:41:15.88,26.427,50,1.122,44.582
158,17:41:16.06,27.031,50,1.064,47.008
159,17:41:16.22,26.966,50,1.103,45.351
160,17:41:16.34,27.504,50,1.11,45.036
161,17:41:16.57,27.535,50,1.085,46.104
162,17:41:16.66,27.386,50,1.084,46.146
163,17:41:16.71,27.135,50,1.049,47.643
164,17:41:17.06,28.283,50,1.102,45.372
165,17:41:17.17,27.558,50,1.046,47.783
166,17:41:17.42,27.628,50,1.131,44.223
167,17:41:17.52,28.664,50,1.114,44.871
168,17:41:17.72,28.904,50,1.087,45.978
169,17:41:17.81,28.79,50,1.085,46.072
170,17:41:17.84,29.197,50,1.067,46.867
171,17:41:18.23,28.77,50,1.106,45.189
172,17:41:18.29,29.592,50,1.046,47.801
173,17:41:18.63,28.552,50,1.137,43.975
174,17:41:18.70,29.629,50,1.113,44.909
175,17:41:18.85,30.059,50,1.059,47.228
176,17:41:18.95,29.287,50,1.046,47.787
177,17:41:18.98,30.344,50,1.092,45.78
178,17:41:19.41,29.968,50,1.055,47.377
179,17:41:19.43,30.668,50,1.12,44.658
180,17:41:19.80,30.981,50,1.096,45.6
181,17:41:19.88,30.603,50,1.11,45.052
182,17:41:20.01,30.81,50,1.082,46.213
183,17:41:20.09,30.523,50,1.062,47.062
184,17:41:20.13,31.505,50,1.076,46.485
185,17:41:20.52,31.015,50,1.044,47.903
186,17:41:20.56,31.808,50,1.071,46.686
187,17:41:20.98,31.801,50,1.109,45.075
188,17:41:21.07,31.779,50,1.114,44.893
189,17:41:21.17,31.59,50,1.096,45.635
190,17:41:21.21,32.439,50,1.061,47.112
191,17:41:21.28,32.694,50,1.081,46.267
192,17:41:21.65,32.335,50,1.057,47.308
193,17:41:21.70,32.977,50,1.068,46.816
194,17:41:22.17,32.989,50,1.116,44.812
195,17:41:22.24,32.951,50,1.11,45.053
196,17:41:22.33,33.544,50,1.083,46.164
197,17:41:22.34,32.84,50,1.059,47.197
198,17:41:22.43,33.786,50,1.075,46.499
199,17:41:22.77,33.855,50,1.055,47.373
200,17:41:22.89,33.526,50,1.121,44.597
201,17:41:23.36,33.767,50,1.117,44.773
202,17:41:23.42,34.204,50,1.111,44.993
203,17:41:23.46,34.357,50,1.05,47.638
204,17:41:23.49,33.67,50,1.088,45.96
205,17:41:23.58,34.486,50,1.076,46.457
206,17:41:23.89,35.24,50,1.044,47.886
207,17:41:24.06,35.235,50,1.096,45.616
208,17:41:24.53,34.589,50,1.088,45.972
209,17:41:24.56,35.523,50,1.063,47.017
210,17:41:24.60,34.782,50,1.074,46.545
211,17:41:24.65,35.722,50,1.091,45.822
212,17:41:24.70,35.635,50,1.057,47.293
213,17:41:25.02,34.967,50,1.053,47.466
214,17:41:25.24,35.593,50,1.104,45.28
215,17:41:25.69,36.507,50,1.097,45.589
216,17:41:25.73,36.6,50,1.067,46.872
217,17:41:25.74,36.566,50,1.101,45.403
218,17:41:25.80,36.533,50,1.094,45.723
219,17:41:25.84,36.297,50,1.071,46.696
220,17:41:26.13,36.838,50,1.05,47.633
221,17:41:26.44,36.994,50,1.127,44.358
222,17:41:26.87,37.559,50,1.114,44.873
223,17:41:26.89,37.868,50,1.079,46.325
224,17:41:26.90,37.176,50,1.091,45.839
225,17:41:26.96,37.377,50,1.088,45.944
226,17:41:26.97,37.891,50,1.066,46.923
227,17:41:27.25,38.543,50,1.044,47.902
228,17:41:27.59,38.85,50,1.084,46.145
229,17:41:28.02,38.67,50,1.069,46.752
230,17:41:28.05,38.287,50,1.111,45.008
231,17:41:28.07,38.971,50,1.102,45.391
232,17:41:28.12,38.745,50,1.084,46.118
233,17:41:28.13,38.653,50,1.098,45.555
234,17:41:28.35,39.76,50,1.038,48.152
235,17:41:28.76,39.802,50,1.096,45.613
236,17:41:29.15,40.439,50,1.064,47.012
237,17:41:29.21,39.097,50,1.092,45.775
238,17:41:29.24,39.959,50,1.097,45.58
239,17:41:29.26,40.261,50,1.069,46.77
240,17:41:29.28,40.351,50,1.077,46.434
241,17:41:29.46,40.013,50,1.047,47.751
242,17:41:29.95,40.217,50,1.12,44.645
243,17:41:30.29,40.422,50,1.073,46.619
244,17:41:30.36,41.503,50,1.087,45.987
245,17:41:30.40,41.309,50,1.096,45.606
246,17:41:30.41,41.014,50,1.081,46.255
247,17:41:30.44,41.164,50,1.095,45.645
248,17:41:30.58,41.675,50,1.051,47.589
249,17:41:31.13,41.944,50,1.108,45.122
250,17:41:31.44,42.072,50,1.08,46.309
251,17:41:31.54,42.504,50,1.108,45.131
252,17:41:31.55,42.644,50,1.079,46.357
253,17:41:31.55,42.488,50,1.08,46.299
254,17:41:31.60,41.914,50,1.091,45.844
255,17:41:31.69,42.593,50,1.051,47.592
256,17:41:32.29,42.744,50,1.094,45.711
257,17:41:32.58,43.308,50,1.074,46.535
258,17:41:32.69,43.654,50,1.068,46.827
259,17:41:32.71,43.063,50,1.086,46.048
260,17:41:32.73,43.716,50,1.115,44.847
261,17:41:32.76,43.248,50,1.09,45.869
262,17:41:32.82,43.105,50,1.062,47.098
263,17:41:33.48,44.02,50,1.116,44.801
264,17:41:33.71,44.196,50,1.062,47.063
265,17:41:33.84,44.363,50,1.084,46.136
266,17:41:33.89,44.612,50,1.108,45.134
267,17:41:33.92,44.532,50,1.086,46.028
268,17:41:33.92,44.57,50,1.122,44.55
269,17:41:33.95,45.033,50,1.046,47.78
270,17:41:34.65,45.392,50,1.101,45.413
271,17:41:34.84,45.596,50,1.068,46.827
272,17:41:34.97,45.876,50,1.055,47.385
273,17:41:35.03,45.753,50,1.072,46.663
274,17:41:35.04,45.775,50,1.062,47.062
275,17:41:35.07,46.298,50,1.081,46.251
276,17:41:35.08,45.011,50,1.061,47.125
277,17:41:35.84,46.387,50,1.113,44.91
278,17:41:35.97,46.315,50,1.062,47.069
279,17:41:36.10,47.008,50,1.068,46.83
280,17:41:36.19,46.307,50,1.081,46.255
281,17:41:36.20,46.622,50,1.083,46.182
282,17:41:36.20,47.534,50,1.06,47.165
283,17:41:36.24,47.306,50,1.107,45.183
284,17:41:37.00,48.108,50,1.1,45.447
285,17:41:37.10,47.927,50,1.057,47.291
286,17:41:37.25,47.694,50,1.09,45.866
287,17:41:37.31,47.871,50,1.046,47.822
288,17:41:37.34,47.708,50,1.09,45.889
289,17:41:37.37,47.541,50,1.105,45.23
290,17:41:37.45,48.268,50,1.13,44.257
291,17:41:38.17,48.476,50,1.104,45.29
292,17:41:38.25,48.857,50,1.085,46.104
293,17:41:38.41,49.596,50,1.084,46.14
294,17:41:38.44,48.216,50,1.058,47.28
295,17:41:38.49,48.679,50,1.081,46.238
296,17:41:38.52,49.199,50,1.087,45.992
297,17:41:38.62,49.694,50,1.108,45.122
298,17:41:39.35,49.904,50,1.105,45.249
299,17:41:39.38,49.56,50,1.063,47.03
300,17:41:39.55,50.393,50,1.082,46.196
301,17:41:39.56,50.484,50,1.057,47.313
302,17:41:39.64,50.354,50,1.08,46.309
303,17:41:39.66,50.087,50,1.076,46.464
304,17:41:39.77,50.892,50,1.085,46.099
305,17:41:40.51,51.386,50,1.091,45.82
306,17:41:40.52,51.56,50,1.069,46.792
307,17:41:40.68,51.06,50,1.053,47.496
308,17:41:40.69,51.351,50,1.074,46.56
309,17:41:40.78,51.494,50,1.068,46.822
310,17:41:40.79,51.529,50,1.059,47.218
311,17:41:40.98,51.717,50,1.131,44.227
312,17:41:41.64,51.785,50,1.058,47.275
313,17:41:41.70,52.305,50,1.117,44.751
314,17:41:41.80,52.401,50,1.055,47.384
315,17:41:41.84,52.587,50,1.069,46.785
316,17:41:41.94,52.605,50,1.09,45.88
317,17:41:41.95,53.104,50,1.088,45.966
318,17:41:42.17,53.163,50,1.125,44.458
319,17:41:42.78,53.394,50,1.067,46.857
320,17:41:42.87,53.736,50,1.094,45.71
321,17:41:42.93,53.512,50,1.059,47.218
322,17:41:42.98,53.711,50,1.075,46.51
323,17:41:43.09,54.309,50,1.085,46.079
324,17:41:43.11,53.565,50,1.103,45.343
