idx,time,latency_sec,tokens,generation_time_sec,tok_per_sec
1,17:52:09.10,0.368,25,0.2,124.811
2,17:52:09.88,1.121,25,0.303,82.555
3,17:52:10.02,1.289,25,0.392,63.767
4,17:52:10.07,1.296,25,0.402,62.17
5,17:52:09.92,1.168,25,0.476,52.561
6,17:52:10.62,1.626,25,0.232,107.983
7,17:52:11.00,2.093,25,0.327,76.368
8,17:52:11.04,2.274,25,0.256,97.475
9,17:52:11.09,2.288,25,0.417,60.009
10,17:52:11.44,2.569,25,0.258,96.745
11,17:52:11.16,2.305,25,0.779,32.106
12,17:52:11.49,2.738,25,0.419,59.704
13,17:52:11.60,2.802,25,0.36,69.47
14,17:52:11.59,2.824,25,0.443,56.374
15,17:52:11.80,3.021,25,0.392,63.79
16,17:52:10.34,1.598,25,0.297,84.212
17,17:52:12.01,3.272,25,0.262,95.6
18,17:52:12.30,3.479,25,0.21,118.906
19,17:52:12.29,3.552,25,0.455,54.926
20,17:52:12.36,3.58,25,0.402,62.256
21,17:52:12.44,3.677,25,0.332,75.22
22,17:52:12.57,3.759,25,0.29,86.207
23,17:52:12.57,3.58,25,0.494,50.583
24,17:52:12.81,4.071,25,0.206,121.243
25,17:52:12.90,3.782,25,0.267,93.559
26,17:52:12.92,3.907,25,0.289,86.37
27,17:52:12.97,4.216,25,0.369,67.693
28,17:52:13.08,3.686,25,0.395,63.217
29,17:52:13.14,3.815,25,0.279,89.681
30,17:52:13.22,4.386,25,0.223,112.322
31,17:52:13.23,3.674,25,0.261,95.742
32,17:52:13.31,4.537,25,0.253,98.764
33,17:52:13.36,3.706,25,0.202,123.991
34,17:52:13.37,4.575,25,0.166,150.401
35,17:52:13.41,4.532,25,0.159,156.893
36,17:52:13.43,4.657,25,0.16,156.066
37,17:52:13.48,4.565,25,0.423,59.092
38,17:52:13.52,4.483,25,0.163,153.735
39,17:52:13.56,4.447,25,0.166,150.726
40,17:52:13.56,4.748,25,0.157,159.186
41,17:52:13.59,4.772,25,0.702,35.609
42,17:52:13.62,4.301,25,0.157,158.875
43,17:52:13.62,4.187,25,0.168,149.151
44,17:52:13.71,4.916,25,0.158,157.829
45,17:52:13.73,4.748,25,0.202,123.648
46,17:52:13.75,4.994,25,0.153,162.907
47,17:52:13.75,4.69,25,0.154,162.016
48,17:52:13.81,4.503,25,0.154,161.833
49,17:52:13.81,4.99,25,0.162,154.573
50,17:52:13.82,5.09,25,0.171,146.344
51,17:52:13.90,4.936,25,0.162,153.978
52,17:52:13.92,5.146,25,0.16,156.346
53,17:52:13.93,5.009,25,0.153,162.869
54,17:52:13.94,5.088,25,0.154,161.918
55,17:52:13.99,5.173,25,0.153,162.885
56,17:52:14.00,4.478,25,0.156,160.194
57,17:52:14.01,5.283,25,0.159,157.658
58,17:52:14.09,5.274,25,0.155,161.075
59,17:52:14.11,4.657,25,0.155,161.201
60,17:52:14.11,5.227,25,0.151,165.733
61,17:52:14.11,3.917,25,0.151,165.372
62,17:52:14.17,5.32,25,0.152,164.51
63,17:52:14.18,5.131,25,0.155,161.705
64,17:52:14.19,5.397,25,0.151,165.506
65,17:52:14.27,5.43,25,0.155,161.742
66,17:52:14.29,5.17,25,0.155,161.116
67,17:52:14.29,5.443,25,0.151,165.753
68,17:52:14.29,4.854,25,0.151,165.396
69,17:52:14.35,5.275,25,0.152,164.797
70,17:52:14.37,5.481,25,0.154,161.855
71,17:52:14.37,5.411,25,0.151,165.231
72,17:52:14.45,5.641,25,0.155,161.473
73,17:52:14.47,5.126,25,0.151,165.773
74,17:52:14.47,5.663,25,0.155,161.117
75,17:52:14.47,5.053,25,0.151,165.553
76,17:52:14.52,5.483,25,0.152,164.954
77,17:52:14.55,5.305,25,0.154,162.039
78,17:52:14.55,5.802,25,0.151,165.394
79,17:52:14.63,5.272,25,0.155,161.653
80,17:52:14.65,5.309,25,0.151,165.534
81,17:52:14.65,5.881,25,0.151,165.524
82,17:52:14.66,5.633,25,0.155,161.135
83,17:52:14.70,5.081,25,0.152,164.853
84,17:52:14.73,5.889,25,0.154,162.016
85,17:52:14.73,5.854,25,0.151,165.129
86,17:52:14.82,5.856,25,0.155,161.64
