idx,time,latency_sec,tokens,generation_time_sec,tok_per_sec
1,18:13:20.96,0.312,25,0.078,319.873
2,18:13:22.00,1.356,25,0.074,335.988
3,18:13:23.32,2.673,25,0.075,332.586
4,18:13:23.44,2.743,25,0.083,300.576
5,18:13:23.53,2.86,25,0.072,346.193
6,18:13:23.62,2.643,25,0.072,346.899
7,18:13:23.72,3.035,25,0.072,347.722
8,18:13:23.81,2.8,25,0.072,345.844
9,18:13:23.90,3.176,25,0.072,346.666
10,18:13:24.00,3.225,25,0.072,346.634
11,18:13:24.09,3.407,25,0.072,348.108
12,18:13:24.19,3.427,25,0.072,345.047
13,18:13:24.28,3.624,25,0.072,346.989
14,18:13:24.37,3.68,25,0.072,347.257
15,18:13:24.47,3.816,25,0.072,346.205
16,18:13:24.56,3.416,25,0.072,346.15
17,18:13:24.65,3.991,25,0.072,348.122
18,18:13:24.75,3.976,25,0.072,347.033
19,18:13:24.84,3.734,25,0.072,345.087
20,18:13:24.93,4.182,25,0.072,345.712
21,18:13:25.03,4.269,25,0.072,346.204
22,18:13:25.12,4.362,25,0.072,345.111
23,18:13:25.21,4.071,25,0.072,345.615
24,18:13:25.31,4.627,25,0.072,346.293
25,18:13:25.40,4.546,25,0.072,347.65
26,18:13:25.49,4.642,25,0.072,347.819
27,18:13:25.59,4.433,25,0.072,345.797
28,18:13:25.68,4.964,25,0.072,347.007
29,18:13:25.77,5.046,25,0.072,347.041
30,18:13:25.87,5.017,25,0.073,344.252
31,18:13:25.96,4.625,25,0.072,346.772
32,18:13:26.05,4.878,25,0.072,345.141
33,18:13:26.15,5.297,25,0.072,346.582
34,18:13:26.24,5.085,25,0.073,343.678
35,18:13:26.33,5.118,25,0.072,346.096
36,18:13:26.43,5.712,25,0.072,345.934
37,18:13:26.52,5.325,25,0.072,346.662
38,18:13:26.61,5.449,25,0.073,344.313
39,18:13:26.71,5.858,25,0.072,346.101
40,18:13:26.80,5.95,25,0.072,347.348
41,18:13:26.89,5.649,25,0.072,345.068
42,18:13:26.99,6.236,25,0.072,347.031
43,18:13:27.08,6.355,25,0.072,345.888
44,18:13:27.17,5.844,25,0.073,343.555
45,18:13:27.27,6.083,25,0.072,345.214
46,18:13:27.36,6.106,25,0.072,346.47
47,18:13:27.46,6.484,25,0.072,345.765
48,18:13:27.55,6.195,25,0.072,346.114
49,18:13:27.64,6.908,25,0.072,345.712
50,18:13:27.74,6.755,25,0.072,347.3
51,18:13:27.83,6.634,25,0.072,347.325
52,18:13:27.92,6.599,25,0.072,347.147
53,18:13:28.02,7.359,25,0.072,347.896
54,18:13:28.11,5.971,25,0.072,347.039
55,18:13:28.20,6.997,25,0.072,346.622
56,18:13:28.30,6.982,25,0.072,345.903
57,18:13:28.39,7.616,25,0.072,345.431
58,18:13:28.48,7.634,25,0.072,347.362
59,18:13:28.58,7.732,25,0.072,346.974
60,18:13:28.67,7.821,25,0.072,347.374
61,18:13:28.76,7.442,25,0.072,345.937
62,18:13:28.86,7.723,25,0.072,346.785
63,18:13:28.95,7.633,25,0.072,347.25
64,18:13:29.04,7.401,25,0.072,347.932
65,18:13:29.14,8.365,25,0.073,344.419
66,18:13:29.23,8.454,25,0.072,347.242
67,18:13:29.32,7.969,25,0.072,349.036
68,18:13:29.42,8.093,25,0.072,347.155
69,18:13:29.51,8.17,25,0.072,348.568
70,18:13:29.60,8.339,25,0.072,346.859
71,18:13:29.70,8.373,25,0.072,347.771
72,18:13:29.79,8.466,25,0.072,346.597
73,18:13:29.88,7.961,25,0.072,347.178
74,18:13:29.98,8.717,25,0.072,347.93
75,18:13:30.07,8.694,25,0.072,346.089
76,18:13:30.16,7.872,25,0.072,346.624
77,18:13:30.26,8.935,25,0.072,346.866
78,18:13:30.35,8.285,25,0.072,346.019
79,18:13:30.44,9.324,25,0.072,346.229
80,18:13:30.54,8.382,25,0.072,345.581
81,18:13:30.63,9.78,25,0.072,345.667
82,18:13:30.72,9.309,25,0.072,348.437
83,18:13:30.82,8.459,25,0.072,348.193
84,18:13:30.91,9.534,25,0.072,346.727
85,18:13:31.00,9.568,25,0.072,345.495
86,18:13:31.10,8.773,25,0.073,343.995
87,18:13:31.19,10.539,25,0.072,347.435
88,18:13:31.28,8.866,25,0.072,346.344
89,18:13:31.38,8.93,25,0.072,346.105
90,18:13:31.47,9.043,25,0.072,345.451
91,18:13:31.57,9.114,25,0.072,347.852
92,18:13:31.66,9.207,25,0.072,347.577
93,18:13:31.75,9.297,25,0.072,346.6
94,18:13:31.85,9.372,25,0.072,345.549
95,18:13:31.94,9.477,25,0.072,346.967
96,18:13:32.03,9.568,25,0.072,345.399
97,18:13:32.13,10.345,25,0.072,348.239
98,18:13:32.22,11.553,25,0.072,345.212
99,18:13:32.31,9.855,25,0.072,346.813
100,18:13:32.41,11.556,25,0.072,345.742
