idx,time,latency_sec,tokens,generation_time_sec,tok_per_sec
1,17:22:06.76,1.122,25,0.06,419.669
2,17:22:07.00,1.351,25,0.057,440.998
3,17:22:09.12,3.472,25,0.069,364.325
4,17:22:09.69,4.032,25,0.072,349.238
5,17:22:10.12,4.47,25,0.055,455.206
6,17:22:10.19,4.535,25,0.055,454.955
7,17:22:10.29,4.636,25,0.055,457.135
8,17:22:10.37,4.699,25,0.054,459.162
9,17:22:10.45,4.78,25,0.055,458.508
10,17:22:10.52,4.827,25,0.054,458.817
11,17:22:10.60,4.875,25,0.054,462.813
12,17:22:10.67,4.963,25,0.054,463.379
13,17:22:10.75,5.042,25,0.054,463.195
14,17:22:10.82,5.077,25,0.054,465.98
15,17:22:10.90,5.055,25,0.054,462.487
16,17:22:10.97,4.884,25,0.054,461.724
17,17:22:11.04,5.216,25,0.054,460.83
18,17:22:11.12,5.404,25,0.054,462.207
19,17:22:11.19,5.491,25,0.055,457.928
20,17:22:11.27,5.42,25,0.054,463.653
21,17:22:11.34,5.502,25,0.054,463.243
22,17:22:11.42,5.612,25,0.054,466.745
23,17:22:11.49,5.583,25,0.054,466.843
24,17:22:11.56,5.715,25,0.054,461.783
25,17:22:11.64,5.95,25,0.054,462.395
26,17:22:11.71,5.821,25,0.054,466.505
27,17:22:11.79,6.009,25,0.054,464.046
28,17:22:11.86,5.94,25,0.054,462.608
29,17:22:11.94,6.018,25,0.054,466.319
30,17:22:12.01,6.185,25,0.054,462.788
31,17:22:12.08,6.223,25,0.054,464.412
32,17:22:12.16,6.114,25,0.054,463.824
33,17:22:12.23,6.311,25,0.054,466.092
34,17:22:12.31,5.353,25,0.054,458.981
35,17:22:12.38,6.487,25,0.054,464.314
36,17:22:12.46,6.569,25,0.054,461.063
37,17:22:12.53,6.61,25,0.054,459.845
38,17:22:12.61,6.684,25,0.054,466.964
39,17:22:12.68,6.756,25,0.054,461.705
40,17:22:12.76,6.947,25,0.054,463.934
41,17:22:12.83,6.935,25,0.054,462.905
42,17:22:12.90,6.965,25,0.054,463.928
43,17:22:12.98,7.059,25,0.054,464.076
44,17:22:13.05,7.206,25,0.054,461.786
45,17:22:13.13,7.276,25,0.054,464.165
46,17:22:13.20,7.28,25,0.054,460.881
47,17:22:13.28,7.267,25,0.054,461.749
48,17:22:13.35,7.286,25,0.054,460.704
49,17:22:13.43,7.576,25,0.054,463.644
50,17:22:13.50,7.436,25,0.054,459.644
51,17:22:13.58,7.656,25,0.054,464.839
52,17:22:13.65,7.643,25,0.054,460.443
53,17:22:13.72,7.803,25,0.054,465.476
54,17:22:13.80,7.724,25,0.054,462.779
55,17:22:13.87,8.024,25,0.054,461.859
56,17:22:13.95,8.119,25,0.054,463.603
57,17:22:14.02,8.173,25,0.054,462.656
58,17:22:14.10,7.99,25,0.054,466.014
59,17:22:14.17,8.287,25,0.054,467.034
60,17:22:14.24,8.087,25,0.054,465.103
61,17:22:14.32,8.141,25,0.054,465.156
62,17:22:14.39,8.257,25,0.054,463.133
63,17:22:14.47,8.637,25,0.054,465.515
64,17:22:14.54,8.718,25,0.054,459.81
65,17:22:14.62,8.693,25,0.054,464.552
66,17:22:14.69,8.555,25,0.055,457.377
67,17:22:14.77,8.568,25,0.054,461.726
68,17:22:14.84,8.832,25,0.054,466.674
69,17:22:14.92,8.783,25,0.054,466.605
70,17:22:14.99,9.319,25,0.054,459.883
71,17:22:15.06,8.937,25,0.054,466.289
72,17:22:15.14,8.827,25,0.054,459.829
73,17:22:15.21,9.086,25,0.054,460.612
74,17:22:15.29,9.201,25,0.054,463.475
75,17:22:15.36,9.07,25,0.054,463.265
76,17:22:15.44,9.349,25,0.054,459.805
77,17:22:15.51,9.18,25,0.054,460.594
78,17:22:15.59,9.911,25,0.054,462.196
79,17:22:15.66,8.685,25,0.054,464.507
80,17:22:15.73,10.045,25,0.054,463.777
81,17:22:15.81,9.679,25,0.054,463.514
82,17:22:15.88,9.857,25,0.054,465.437
83,17:22:15.96,10.27,25,0.054,465.826
84,17:22:16.03,8.212,25,0.054,461.072
85,17:22:16.10,9.753,25,0.054,464.804
86,17:22:16.18,10.055,25,0.054,464.242
87,17:22:16.25,9.97,25,0.055,457.621
88,17:22:16.33,10.192,25,0.054,462.711
89,17:22:16.40,10.756,25,0.054,467.182
90,17:22:16.48,10.258,25,0.054,464.699
91,17:22:16.55,10.703,25,0.054,465.135
92,17:22:16.63,10.78,25,0.054,464.125
93,17:22:16.70,10.481,25,0.053,467.502
94,17:22:16.77,10.483,25,0.054,466.032
95,17:22:16.85,10.478,25,0.054,465.78
96,17:22:16.93,11.097,25,0.055,451.248
97,17:22:17.00,10.6,25,0.055,456.727
98,17:22:17.08,9.247,25,0.054,463.071
99,17:22:17.15,10.891,25,0.054,463.693
100,17:22:17.23,10.834,25,0.054,463.967
101,17:22:17.30,11.577,25,0.054,465.556
102,17:22:17.37,10.771,25,0.054,463.179
103,17:22:17.45,11.527,25,0.054,464.662
104,17:22:17.52,11.731,25,0.054,464.947
105,17:22:17.60,10.94,25,0.054,464.288
106,17:22:17.67,12.02,25,0.054,463.935
107,17:22:17.75,12.056,25,0.054,464.991
108,17:22:17.82,11.971,25,0.054,465.525
109,17:22:17.89,11.435,25,0.054,459.878
110,17:22:17.97,11.882,25,0.054,459.068
111,17:22:18.04,11.385,25,0.054,459.842
112,17:22:18.12,11.458,25,0.054,463.543
113,17:22:18.19,11.533,25,0.054,464.678
114,17:22:18.27,12.202,25,0.054,464.057
115,17:22:18.34,11.627,25,0.054,459.062
116,17:22:18.42,12.609,25,0.054,463.741
117,17:22:18.49,12.353,25,0.054,465.637
118,17:22:18.56,12.161,25,0.054,465.27
119,17:22:18.64,11.965,25,0.054,462.774
120,17:22:18.71,12.069,25,0.054,460.987
121,17:22:18.79,12.662,25,0.054,463.616
122,17:22:18.86,12.706,25,0.054,462.057
123,17:22:18.94,13.082,25,0.054,459.653
124,17:22:19.01,12.157,25,0.054,462.206
125,17:22:19.09,12.297,25,0.054,463.482
126,17:22:19.16,12.87,25,0.054,459.816
127,17:22:19.24,12.43,25,0.054,465.895
128,17:22:19.31,13.402,25,0.054,464.201
129,17:22:19.38,12.559,25,0.055,458.312
130,17:22:19.46,12.681,25,0.054,465.25
131,17:22:19.53,12.767,25,0.054,465.066
132,17:22:19.61,13.867,25,0.054,461.87
133,17:22:19.68,12.747,25,0.054,464.228
134,17:22:19.76,12.909,25,0.054,465.164
135,17:22:19.83,11.99,25,0.053,467.545
136,17:22:19.90,13.663,25,0.053,467.467
137,17:22:19.98,14.127,25,0.054,466.69
138,17:22:20.05,13.914,25,0.054,461.784
139,17:22:20.13,13.091,25,0.054,459.582
140,17:22:20.20,13.356,25,0.054,460.465
141,17:22:20.28,13.452,25,0.054,460.494
142,17:22:20.36,13.53,25,0.055,454.446
143,17:22:20.43,13.425,25,0.054,464.054
144,17:22:20.51,13.49,25,0.054,460.294
145,17:22:20.58,14.44,25,0.054,460.872
146,17:22:20.65,13.772,25,0.054,463.57
147,17:22:20.73,13.941,25,0.054,465.064
148,17:22:20.80,13.657,25,0.054,461.675
149,17:22:20.88,13.976,25,0.054,466.347
150,17:22:20.95,14.128,25,0.054,462.886
151,17:22:21.03,14.202,25,0.054,463.971
152,17:22:21.10,14.2,25,0.054,463.163
153,17:22:21.18,14.281,25,0.054,465.143
154,17:22:21.25,14.157,25,0.054,461.45
155,17:22:21.33,14.481,25,0.054,462.317
156,17:22:21.40,14.326,25,0.055,458.461
157,17:22:21.48,15.628,25,0.054,459.832
158,17:22:21.55,14.653,25,0.054,459.933
159,17:22:21.63,14.581,25,0.054,463.248
160,17:22:21.70,14.82,25,0.054,459.523
161,17:22:21.78,14.876,25,0.054,460.237
162,17:22:21.85,15.098,25,0.054,464.386
163,17:22:21.93,15.142,25,0.054,460.59
164,17:22:22.00,14.945,25,0.054,459.897
165,17:22:22.08,15.04,25,0.054,463.285
166,17:22:22.15,15.023,25,0.054,461.319
167,17:22:22.22,15.208,25,0.053,468.744
168,17:22:22.30,15.415,25,0.054,462.842
169,17:22:22.37,15.678,25,0.054,461.034
170,17:22:22.45,15.656,25,0.054,463.272
171,17:22:22.52,16.646,25,0.054,460.518
172,17:22:22.60,15.541,25,0.053,467.455
173,17:22:22.67,15.615,25,0.054,461.997
174,17:22:22.75,15.599,25,0.054,459.336
175,17:22:22.82,15.765,25,0.054,460.224
176,17:22:22.90,15.9,25,0.054,464.676
